,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
431,Remy Rees-Dottin,eng ENG,FW,Bournemouth,18,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
432,Sergio Reguilón,es ESP,DF,Tottenham,27,1996,2.2,2,0,0,2,6,0,12,4,3,0,0,0,14,5,2,71.4,Matches
433,Vitor Reis,br BRA,DF,Manchester City,18,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
434,Chadi Riad,ma MAR,DF,Crystal Palace,21,2003,1,0,0,0,1,0,0,0,2,2,0,0,0,4,2,4,33.3,Matches
435,Declan Rice,eng ENG,MF,Arsenal,25,1999,31.4,7,1,1,21,16,2,164,25,25,0,0,0,156,37,25,59.7,Matches
436,Chris Richards,us USA,DF,Crystal Palace,24,2000,21.4,4,1,1,11,5,1,5,19,30,1,0,0,51,48,41,53.9,Matches
437,Richarlison,br BRA,FW,Tottenham,27,1997,5.6,2,0,0,7,13,3,7,0,3,0,0,0,11,10,23,30.3,Matches
438,Andrew Robertson,sct SCO,DF,Liverpool,30,1994,27.6,3,1,0,11,8,3,147,21,22,0,1,1,105,7,14,33.3,Matches
439,Antonee Robinson,us USA,DF,Fulham,26,1997,35.2,8,0,0,31,20,7,170,62,61,0,0,0,157,50,26,65.8,Matches
440,Jay Robinson,eng ENG,"MF,FW",Southampton,17,2007,1.5,0,0,0,3,1,0,1,0,1,0,0,0,12,0,1,0,Matches
441,Rodri,es ESP,MF,Manchester City,28,1996,0.8,0,0,0,1,2,0,0,1,1,0,0,0,7,1,0,100,Matches
442,Guido Rodríguez,ar ARG,MF,West Ham,30,1994,12.8,6,0,0,18,12,2,5,13,19,0,0,0,53,11,7,61.1,Matches
443,Mads Roerslev,dk DEN,DF,Brentford,25,1999,12.2,2,0,0,6,10,0,31,4,8,0,0,0,39,10,14,41.7,Matches
444,Morgan Rogers,eng ENG,"FW,MF",Aston Villa,22,2002,34.6,10,0,0,50,51,2,27,6,22,1,0,0,119,13,52,20,Matches
445,Cristian Romero,ar ARG,DF,Tottenham,26,1998,15.7,3,0,0,14,12,2,3,21,29,0,0,0,90,41,27,60.3,Matches
446,Georginio Rutter,fr FRA,"MF,FW",Brighton,22,2002,18.4,2,0,0,34,45,7,9,10,15,0,1,0,66,25,46,35.2,Matches
447,José Sá,pt POR,GK,Wolves,31,1993,29,2,0,0,4,9,0,0,0,2,0,4,0,37,11,1,91.7,Matches
448,Bukayo Saka,eng ENG,"FW,MF",Arsenal,22,2001,19.2,3,0,0,15,39,7,117,3,15,1,0,0,70,10,20,33.3,Matches
449,Mohamed Salah,eg EGY,FW,Liverpool,32,1992,37.5,1,0,0,25,39,18,79,9,11,0,0,0,101,9,14,39.1,Matches
450,William Saliba,fr FRA,DF,Arsenal,23,2001,33.8,2,1,0,28,17,1,3,21,37,0,1,0,154,61,36,62.9,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
451,Robert Sánchez,es ESP,GK,Chelsea,26,1997,32,5,0,0,2,4,0,0,2,0,0,2,0,43,12,0,100,Matches
452,Jadon Sancho,eng ENG,FW,Chelsea,24,2000,19.6,2,0,0,6,11,6,25,2,7,2,0,0,99,6,11,35.3,Matches
453,Ibrahim Sangaré,ci CIV,MF,Nott'ham Forest,26,1997,6.6,3,0,0,15,8,0,2,6,14,0,0,0,42,10,10,50,Matches
454,Pablo Sarabia,es ESP,"MF,FW",Wolves,32,1992,9,3,0,0,16,15,5,47,4,8,0,0,0,34,5,14,26.3,Matches
455,Jeremy Sarmiento,ec ECU,MF,Brighton,22,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
456,Ismaila Sarr,sn SEN,MF,Crystal Palace,26,1998,30.1,4,0,0,14,56,11,55,9,10,1,0,0,113,37,52,41.6,Matches
457,Sávio,br BRA,"FW,MF",Manchester City,20,2004,19.6,3,0,0,17,28,3,84,6,17,2,0,0,79,1,2,33.3,Matches
458,Oliver Scarles,eng ENG,"DF,FW",West Ham,18,2005,7.4,1,0,0,5,3,1,15,11,11,0,0,0,34,6,6,50,Matches
459,Dane Scarlett,eng ENG,"FW,MF",Tottenham,20,2004,0.4,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,100,Matches
460,Kevin Schade,de GER,FW,Brentford,22,2001,25.5,3,0,0,21,38,13,38,5,25,1,0,0,83,90,80,52.9,Matches
461,Fabian Schär,ch SUI,DF,Newcastle Utd,32,1991,32.6,9,1,0,35,15,4,13,45,21,0,0,0,134,56,71,44.1,Matches
462,Jeffrey Schlupp,gh GHA,"MF,DF",Crystal Palace,31,1992,1.1,0,0,0,1,0,0,4,0,0,0,0,0,6,3,4,42.9,Matches
463,Alex Scott,eng ENG,MF,Bournemouth,20,2003,8.4,3,0,0,17,26,0,7,10,14,0,0,0,52,7,7,50,Matches
464,Matz Sels,be BEL,GK,Nott'ham Forest,32,1992,38,4,0,0,1,10,0,0,0,1,0,1,0,17,15,2,88.2,Matches
465,Nélson Semedo,pt POR,DF,Wolves,30,1993,32.1,8,0,0,48,30,4,63,23,36,0,1,0,139,28,42,40,Matches
466,Antoine Semenyo,gh GHA,FW,Bournemouth,24,2000,35.6,9,0,0,73,37,15,59,11,35,1,0,0,158,66,76,46.5,Matches
467,Marcos Senesi,ar ARG,DF,Bournemouth,27,1997,12.3,5,0,0,22,8,0,11,14,21,0,0,0,71,32,29,52.5,Matches
468,Ryan Sessegnon,eng ENG,"FW,DF",Fulham,24,2000,6.4,1,0,0,20,4,1,16,3,13,0,0,0,30,8,11,42.1,Matches
469,Luke Shaw,eng ENG,DF,Manchester Utd,29,1995,3.9,1,0,0,3,1,0,11,2,3,0,0,1,9,3,2,60,Matches
470,Zain Silcott-Duberry,ms MSR,FW,Bournemouth,19,2005,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Matches
471,Bernardo Silva,pt POR,"MF,FW",Manchester City,29,1994,29.7,7,0,0,27,32,3,60,23,37,0,0,0,107,5,10,33.3,Matches
472,Jota Silva,pt POR,"FW,MF",Nott'ham Forest,24,1999,9.5,5,0,0,24,23,8,21,12,14,1,0,0,43,21,30,41.2,Matches
473,Eric da Silva Moreira,de GER,"MF,DF",Nott'ham Forest,18,2006,0.3,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,,Matches
474,Jahmai Simpson-Pusey,eng ENG,DF,Manchester City,18,2005,1.1,1,0,0,0,1,0,0,0,0,0,0,0,3,1,3,25,Matches
475,Luis Sinisterra,co COL,"FW,MF",Bournemouth,25,1999,2.6,0,0,0,4,2,1,7,1,2,0,0,0,17,3,7,30,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
476,Oliver Skipp,eng ENG,MF,Leicester City,23,2000,12.5,8,0,0,21,13,0,5,11,4,0,0,0,46,12,6,66.7,Matches
477,William Smallbone,ie IRL,MF,Southampton,24,2000,7.7,1,0,0,11,3,0,36,2,13,0,1,0,23,4,6,40,Matches
478,Adam Smith,eng ENG,DF,Bournemouth,33,1991,17.7,7,0,0,19,12,0,33,15,12,0,0,0,50,14,15,48.3,Matches
479,Emile Smith Rowe,eng ENG,MF,Fulham,24,2000,22.7,3,0,0,19,14,4,16,11,18,0,0,0,75,6,20,23.1,Matches
480,Dominic Solanke,eng ENG,FW,Tottenham,26,1997,24.5,0,0,0,36,36,5,4,1,11,0,0,1,38,46,60,43.4,Matches
481,Carlos Soler,es ESP,"MF,FW",West Ham,27,1997,15.7,6,0,0,26,19,0,34,8,11,0,0,0,64,10,12,45.5,Matches
482,Julio Soler,ar ARG,"DF,FW",Bournemouth,19,2005,0.1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,,Matches
483,Ramón Sosa,py PAR,"FW,MF",Nott'ham Forest,24,1999,3.3,1,0,0,6,8,3,8,4,3,0,0,0,25,4,7,36.4,Matches
484,Tomáš Souček,cz CZE,MF,West Ham,29,1995,28.5,8,0,0,47,25,4,14,20,21,1,0,0,63,99,73,57.6,Matches
485,Boubakary Soumaré,fr FRA,MF,Leicester City,25,1999,24.1,8,0,0,24,23,0,10,27,20,0,0,0,140,21,11,65.6,Matches
486,Djed Spence,eng ENG,DF,Tottenham,23,2000,19.9,4,1,1,21,23,2,25,21,34,0,0,1,109,21,14,60,Matches
487,Jay Stansfield,eng ENG,MF,Fulham,21,2002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
488,Jason Steele,eng ENG,GK,Brighton,33,1990,2,0,0,0,0,1,0,0,0,0,0,0,0,7,1,1,50,Matches
489,Jack Stephens,eng ENG,DF,Southampton,30,1994,15.4,2,2,0,13,4,1,1,13,20,0,1,0,44,6,10,37.5,Matches
490,Raheem Sterling,eng ENG,"FW,MF",Arsenal,29,1994,5.5,1,0,0,12,8,4,16,1,4,0,0,0,16,1,3,25,Matches
491,Ross Stewart,sct SCO,FW,Southampton,28,1996,4.3,1,0,0,7,7,1,0,1,4,0,0,0,6,13,23,36.1,Matches
492,Jakub Stolarczyk,pl POL,GK,Leicester City,23,2000,10,1,0,0,0,0,0,0,0,1,0,0,0,8,5,0,100,Matches
493,John Stones,eng ENG,"DF,MF",Manchester City,30,1994,6.1,1,0,0,2,2,0,0,4,2,0,0,0,22,8,6,57.1,Matches
494,Jørgen Strand Larsen,no NOR,FW,Wolves,24,2000,28.7,4,0,0,46,19,16,6,6,6,0,0,0,42,67,100,40.1,Matches
495,Yukinari Sugawara,jp JPN,"DF,MF",Southampton,24,2000,17.3,4,0,0,15,10,4,70,11,18,0,2,0,44,5,9,35.7,Matches
496,Kamaldeen Sulemana,gh GHA,"FW,MF",Southampton,22,2002,15.6,2,0,0,22,11,3,26,6,17,0,0,0,63,13,27,32.5,Matches
497,Crysencio Summerville,nl NED,"FW,MF",West Ham,22,2001,8.7,2,0,0,9,23,4,21,0,7,0,0,0,38,4,9,30.8,Matches
498,Sammie Szmodics,ie IRL,"FW,MF",Ipswich Town,28,1995,11,2,0,0,9,8,8,14,6,10,0,1,0,42,6,11,35.3,Matches
499,Dominik Szoboszlai,hu HUN,MF,Liverpool,23,2000,27.7,6,0,0,44,24,4,41,9,20,0,0,0,133,19,23,45.2,Matches
500,Matt Targett,eng ENG,DF,Newcastle Utd,28,1995,0.2,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
501,James Tarkowski,eng ENG,DF,Everton,31,1992,32.5,6,0,0,35,28,2,1,41,40,0,1,0,98,102,33,75.6,Matches
502,Marcus Tavernier,eng ENG,"FW,MF",Bournemouth,25,1999,21.5,6,0,0,34,28,4,108,5,24,0,0,0,119,26,33,44.1,Matches
503,Charlie Taylor,eng ENG,DF,Southampton,30,1993,4,1,0,0,2,3,0,9,5,5,0,0,0,10,6,2,75,Matches
504,Jack Taylor,ie IRL,MF,Ipswich Town,26,1998,9.6,4,0,0,16,5,0,7,9,10,0,0,0,53,7,8,46.7,Matches
505,Mathys Tel,fr FRA,FW,Tottenham,19,2005,10.1,2,0,0,14,16,1,35,2,6,1,0,0,38,4,7,36.4,Matches
506,Kenny Tete,nl NED,DF,Fulham,28,1995,19.7,5,0,0,35,16,1,38,32,38,0,0,0,74,24,22,52.2,Matches
507,Thiago,br BRA,"FW,MF",Brentford,23,2001,1.9,0,0,0,3,3,1,2,2,3,0,0,0,12,7,5,58.3,Matches
508,Luke Thomas,eng ENG,DF,Leicester City,23,2001,12.3,3,0,0,16,10,0,29,21,25,0,1,0,42,13,11,54.2,Matches
509,Youri Tielemans,be BEL,MF,Aston Villa,27,1997,33.6,4,0,0,41,56,0,119,23,58,0,0,0,145,22,18,55,Matches
510,Kieran Tierney,sct SCO,"DF,FW",Arsenal,27,1997,2.9,0,0,0,1,2,2,14,3,5,0,0,0,6,5,5,50,Matches
511,Jurriën Timber,nl NED,DF,Arsenal,23,2001,26.9,7,0,0,31,29,6,28,22,38,0,0,0,94,22,20,52.4,Matches
512,Jean-Clair Todibo,fr FRA,DF,West Ham,24,1999,20.3,3,0,0,16,6,0,3,26,28,0,0,0,79,28,26,51.9,Matches
513,Harry Toffolo,eng ENG,DF,Nott'ham Forest,28,1995,1.5,1,0,0,1,0,0,4,2,3,0,0,0,2,1,0,100,Matches
514,Takehiro Tomiyasu,jp JPN,DF,Arsenal,25,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
515,Sandro Tonali,it ITA,MF,Newcastle Utd,24,2000,29.2,5,0,0,37,49,2,54,34,32,1,0,0,177,12,12,50,Matches
516,Pau Torres,es ESP,DF,Aston Villa,27,1997,22.4,2,0,0,8,7,0,3,10,15,0,0,0,62,18,29,38.3,Matches
517,Conor Townsend,eng ENG,DF,Ipswich Town,31,1993,3.7,1,0,0,2,4,0,12,4,8,0,0,0,8,6,4,60,Matches
518,Adama Traoré,es ESP,"FW,MF",Fulham,28,1996,19.7,3,0,0,24,32,1,100,1,13,0,0,0,87,25,26,49,Matches
519,Boubacar Traoré,ml MLI,MF,Wolves,22,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Matches
520,Mark Travers,ie IRL,GK,Bournemouth,25,1999,5,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,100,Matches
521,Ryan Trevitt,eng ENG,MF,Brentford,21,2003,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,Matches
522,Kieran Trippier,eng ENG,DF,Newcastle Utd,33,1990,14.5,1,0,0,16,11,2,82,12,21,0,0,0,68,22,15,59.5,Matches
523,Leandro Trossard,be BEL,FW,Arsenal,29,1994,28.3,4,1,1,27,46,6,86,9,20,0,0,0,104,6,24,20,Matches
524,Kostas Tsimikas,gr GRE,DF,Liverpool,28,1996,9.3,2,0,0,9,6,1,64,11,20,0,0,0,31,5,8,38.5,Matches
525,Axel Tuanzebe,cd COD,DF,Ipswich Town,26,1997,19,5,1,1,17,12,0,10,23,19,0,0,1,49,22,18,55,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
526,Destiny Udogie,it ITA,DF,Tottenham,21,2002,21.4,2,0,0,29,38,3,19,22,47,0,0,1,111,13,13,50,Matches
527,Manuel Ugarte,uy URU,MF,Manchester Utd,23,2001,19.8,11,0,0,41,33,0,7,27,49,0,0,1,122,18,18,50,Matches
528,Lesley Ugochukwu,fr FRA,MF,Southampton,20,2004,18.4,7,0,0,31,16,0,6,14,24,0,1,0,67,20,18,52.6,Matches
529,Enes Ünal,tr TUR,"FW,MF",Bournemouth,27,1997,3.8,2,0,0,6,9,1,4,0,0,0,0,0,16,24,22,52.2,Matches
530,Hákon Valdimarsson,is ISL,GK,Brentford,22,2001,1.6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100,Matches
531,Virgil van Dijk,nl NED,DF,Liverpool,33,1991,37,5,0,0,17,13,0,1,56,20,0,0,0,115,119,46,72.1,Matches
532,Jamie Vardy,eng ENG,FW,Leicester City,37,1987,31.4,5,0,0,25,23,27,11,5,13,2,0,0,39,50,55,47.6,Matches
533,Renato Veiga,pt POR,"DF,MF",Chelsea,21,2003,2,2,0,0,6,1,1,0,1,6,0,0,0,9,3,3,50,Matches
534,Joël Veltman,nl NED,DF,Brighton,32,1992,18.9,5,0,0,27,44,0,24,19,29,0,1,0,68,21,18,53.8,Matches
535,Micky van de Ven,nl NED,DF,Tottenham,23,2001,11.3,4,0,0,10,9,0,0,10,6,0,0,0,63,19,20,48.7,Matches
536,Bart Verbruggen,nl NED,GK,Brighton,21,2002,36,5,0,0,0,2,0,0,0,0,0,0,0,59,10,1,90.9,Matches
537,Jannik Vestergaard,dk DEN,DF,Leicester City,31,1992,15.5,5,0,0,12,4,0,0,16,10,0,0,1,46,26,19,57.8,Matches
538,Guglielmo Vicario,it ITA,GK,Tottenham,27,1996,24,1,0,0,0,2,0,0,1,0,0,0,0,32,9,0,100,Matches
539,Carlos Vinícius,br BRA,"MF,FW",Fulham,29,1995,0.2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,Matches
540,Kyle Walker,eng ENG,DF,Manchester City,34,1990,10.8,3,0,0,6,5,1,14,3,10,0,0,0,46,9,7,56.3,Matches
541,Kyle Walker-Peters,eng ENG,DF,Southampton,27,1997,32.4,5,0,0,28,52,2,51,19,29,0,0,0,135,11,21,34.4,Matches
542,Christian Walton,eng ENG,GK,Ipswich Town,28,1995,7,0,0,0,0,1,0,0,0,0,0,0,0,6,2,0,100,Matches
543,Aaron Wan-Bissaka,cd COD,DF,West Ham,26,1997,35,1,0,0,25,27,5,76,66,49,0,0,1,174,22,33,40,Matches
544,Danny Ward,wls WAL,GK,Leicester City,31,1993,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
545,Joel Ward,eng ENG,DF,Crystal Palace,34,1989,0.8,1,0,0,4,0,0,0,0,0,0,0,0,7,1,0,100,Matches
546,James Ward-Prowse,eng ENG,MF,West Ham,29,1994,11.5,2,0,0,10,4,0,49,8,14,0,0,0,52,10,5,66.7,Matches
547,James Ward-Prowse,eng ENG,MF,Nott'ham Forest,29,1994,4.4,2,1,1,7,2,0,19,5,1,0,0,0,19,3,5,37.5,Matches
548,Ollie Watkins,eng ENG,FW,Aston Villa,28,1995,28.9,2,0,0,29,33,16,7,8,7,2,0,0,43,52,71,42.3,Matches
549,Adam Webster,eng ENG,DF,Brighton,29,1995,9.9,1,0,0,7,2,1,2,20,6,0,1,0,35,24,6,80,Matches
550,Danny Welbeck,eng ENG,FW,Brighton,33,1990,23.5,5,0,0,11,23,4,3,5,16,0,0,0,46,17,32,34.7,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
551,Welington,br BRA,DF,Southampton,23,2001,5.4,1,0,0,6,8,1,17,7,9,0,1,0,21,5,4,55.6,Matches
552,Timo Werner,de GER,"FW,MF",Tottenham,28,1996,5.7,0,0,0,3,5,5,28,1,4,0,0,0,18,0,1,0,Matches
553,Adam Wharton,eng ENG,MF,Crystal Palace,20,2004,14.6,2,0,0,12,21,0,39,20,14,0,0,0,102,7,16,30.4,Matches
554,Ben White,eng ENG,DF,Arsenal,26,1997,13.3,2,0,0,10,5,1,17,16,14,0,0,0,37,18,9,66.7,Matches
555,Mats Wieffer,nl NED,"DF,MF",Brighton,24,1999,11.3,6,0,0,23,10,1,13,17,34,1,1,0,68,32,25,56.1,Matches
556,Neco Williams,wls WAL,DF,Nott'ham Forest,23,2001,28.8,7,0,0,24,43,2,59,31,57,0,0,0,110,40,30,57.1,Matches
557,Willian,br BRA,"FW,MF",Fulham,35,1988,2.9,0,0,0,1,0,0,16,1,2,0,0,0,14,1,3,25,Matches
558,Joe Willock,eng ENG,"MF,FW",Newcastle Utd,24,1999,12.1,4,0,0,23,13,3,18,6,17,0,0,0,40,5,14,26.3,Matches
559,Callum Wilson,eng ENG,FW,Newcastle Utd,32,1992,4.1,1,0,0,4,1,3,2,1,2,0,0,0,11,2,16,11.1,Matches
560,Harry Wilson,wls WAL,"FW,MF",Fulham,27,1997,12.9,2,0,0,12,22,1,41,7,14,1,0,0,55,5,20,20,Matches
561,Harry Winks,eng ENG,MF,Leicester City,28,1996,17.1,4,0,0,9,13,0,34,9,11,0,0,0,106,8,6,57.1,Matches
562,Ben Winterburn,eng ENG,"MF,FW",Bournemouth,19,2004,0.3,0,0,0,0,1,0,0,2,0,0,0,0,2,1,0,100,Matches
563,Yoane Wissa,cd COD,FW,Brentford,27,1996,32.4,5,0,0,34,51,14,20,8,12,1,0,0,81,30,36,45.5,Matches
564,Chris Wood,nz NZL,FW,Nott'ham Forest,32,1991,32.9,1,0,0,25,24,28,1,5,5,0,0,0,50,94,143,39.7,Matches
565,Nathan Wood-Gordon,eng ENG,DF,Southampton,22,2002,8.6,2,0,0,9,4,0,3,5,8,0,0,0,20,15,8,65.2,Matches
566,Luke Woolfenden,eng ENG,DF,Ipswich Town,25,1998,13.2,2,0,0,5,2,1,0,19,6,0,0,0,38,15,15,50,Matches
567,Yehor Yarmoliuk,ua UKR,MF,Brentford,20,2004,16.1,6,0,0,19,13,2,16,13,28,0,0,0,113,8,10,44.4,Matches
568,Ryan Yates,eng ENG,MF,Nott'ham Forest,26,1997,21.3,10,0,0,53,49,7,8,26,21,0,0,0,104,45,30,60,Matches
569,Leny Yoro,fr FRA,DF,Manchester Utd,18,2005,12.9,5,0,0,9,2,1,1,18,11,0,0,0,46,16,16,50,Matches
570,Ashley Young,eng ENG,DF,Everton,39,1985,20.8,7,1,0,30,22,0,75,25,33,0,0,0,75,10,11,47.6,Matches
571,Illia Zabarnyi,ua UKR,DF,Bournemouth,21,2002,34.5,4,1,0,20,7,0,6,41,36,0,0,0,157,77,44,63.6,Matches
572,Oleksandr Zinchenko,ua UKR,"DF,MF",Arsenal,27,1996,5.9,1,0,0,8,3,1,13,5,1,0,0,0,19,12,11,52.2,Matches
573,Joshua Zirkzee,nl NED,"FW,MF",Manchester Utd,23,2001,15.6,2,0,0,9,13,3,4,6,8,1,0,0,57,21,54,28,Matches
574,Martin Ødegaard,no NOR,MF,Arsenal,25,1998,25.8,4,0,0,12,23,1,86,6,11,0,0,0,97,8,7,53.3,Matches