,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
351,Joe Knight,eng ENG,MF,Brighton,18,2005,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
352,Ibrahima Konaté,fr FRA,DF,Liverpool,25,1999,31,"2,560",83,74.9,28.4,30,84,24,1,45,1,2.26,59,28,31,1.09,-0.38,58.6,26.9,31.7,1.11,-0.14,Matches
353,Sekou Koné,ml MLI,MF,Manchester Utd,18,2006,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
354,Ezri Konsa,eng ENG,DF,Aston Villa,26,1997,34,"2,936",86,85.8,32.6,33,88,32,1,45,1,1.76,48,45,3,0.09,-0.65,46.5,43.4,3.1,0.1,-0.43,Matches
355,Mateo Kovačić,hr CRO,MF,Manchester City,30,1994,31,"2,198",71,64.3,24.4,25,82,12,6,26,2,1.94,50,28,22,0.9,0.46,45.2,31.1,14.2,0.58,0.12,Matches
356,Caleb Kporha,eng ENG,DF,Crystal Palace,18,2006,2,13,7,0.4,0.1,0,,0,2,7,25,0,0,1,-1,-6.92,-6.95,0.1,0.1,0,0,-0.3,Matches
357,Emil Krafth,se SWE,DF,Newcastle Utd,29,1994,12,342,29,10,3.8,2,90,2,10,16,14,1.92,5,2,3,0.79,0.26,4.9,6.5,-1.5,-0.4,-0.98,Matches
358,Mohammed Kudus,gh GHA,"FW,MF",West Ham,23,2000,32,"2,590",81,75.7,28.8,31,83,14,1,19,0,1.13,33,46,-13,-0.45,-0.13,34.1,42.9,-8.9,-0.31,0.11,Matches
359,Godwill Kukonki,eng ENG,DF,Manchester Utd,16,2008,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
360,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,24,2000,32,"2,389",75,69.9,26.5,27,84,22,5,24,0,1.06,50,41,9,0.34,1.21,44.9,43.1,1.8,0.07,0.62,Matches
361,Maxence Lacroix,fr FRA,DF,Crystal Palace,24,2000,35,"3,116",89,91.1,34.6,35,89,32,0,,0,1.49,49,45,4,0.12,1.3,57.1,43.3,13.8,0.4,1.13,Matches
362,Adam Lallana,eng ENG,MF,Southampton,36,1988,14,361,26,10.6,4,5,51,0,9,12,6,0.5,3,8,-5,-1.25,0.37,4.2,7.9,-3.8,-0.94,0.48,Matches
363,Tariq Lamptey,gh GHA,DF,Brighton,23,2000,15,860,57,25.1,9.6,10,76,5,5,19,10,1.4,14,21,-7,-0.73,-1.22,13.3,14.8,-1.4,-0.15,-0.35,Matches
364,Will Lankshear,eng ENG,"FW,MF",Tottenham,19,2005,3,11,4,0.3,0.1,0,,0,3,4,12,1.33,0,0,0,0,0.03,0.5,0,0.5,4.19,4.32,Matches
365,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,30,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
366,Roméo Lavia,be BEL,MF,Chelsea,20,2004,16,797,50,23.3,8.9,11,66,0,5,14,4,1.88,11,11,0,0,-0.72,11.7,14.7,-2.9,-0.33,-1.13,Matches
367,Mario Lemina,ga GAB,"MF,DF",Wolves,30,1993,17,"1,364",80,39.9,15.2,15,87,13,2,30,0,0.53,22,39,-17,-1.12,-1.21,15.3,27.2,-11.9,-0.78,-0.67,Matches
368,Bernd Leno,de GER,GK,Fulham,32,1992,38,"3,420",90,100,38,38,90,38,0,,0,1.42,54,54,0,0,,49,47.2,1.8,0.05,,Matches
369,Jefferson Lerma,co COL,"MF,DF",Crystal Palace,29,1994,33,"2,274",69,66.5,25.3,26,79,18,7,31,1,1.42,35,36,-1,-0.04,-0.12,39.8,32.4,7.4,0.29,-0.01,Matches
370,Rico Lewis,eng ENG,"DF,MF",Manchester City,19,2004,28,"1,893",68,55.4,21,21,85,14,7,16,8,1.82,41,27,14,0.67,-0.16,37,27.2,9.8,0.46,-0.16,Matches
371,Keane Lewis-Potter,eng ENG,"DF,FW",Brentford,23,2001,38,"3,093",81,90.4,34.4,36,85,26,2,17,0,1.47,58,49,9,0.26,0.26,53.3,50,3.3,0.1,0.02,Matches
372,Myles Lewis-Skelly,eng ENG,DF,Arsenal,17,2006,23,"1,369",60,40,15.2,15,80,7,8,20,9,1.96,26,16,10,0.66,-0.44,21.8,15.9,6,0.39,-0.47,Matches
373,Matthijs de Ligt,nl NED,DF,Manchester Utd,24,1999,29,"2,123",73,62.1,23.6,25,82,16,4,19,1,1.28,32,36,-4,-0.17,0.25,30.2,37.4,-7.2,-0.3,-0.72,Matches
374,Pedro Lima,br BRA,DF,Wolves,18,2006,3,70,23,2,0.8,1,58,0,2,6,18,1,0,2,-2,-2.57,-2.22,1.4,0.7,0.7,0.9,1.31,Matches
375,Victor Lindelöf,se SWE,DF,Manchester Utd,30,1994,16,704,44,20.6,7.8,6,88,5,10,18,7,1.25,10,9,1,0.13,0.49,11.7,8.5,3.2,0.41,0.55,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
376,Jesper Lindstrøm,dk DEN,FW,Everton,24,2000,25,"1,239",50,36.2,13.8,15,67,1,10,23,3,1.2,15,14,1,0.07,0.2,17.4,13.2,4.2,0.31,0.67,Matches
377,Valentino Livramento,eng ENG,DF,Newcastle Utd,21,2002,37,"2,840",77,83,31.6,32,85,25,5,26,0,1.7,58,40,18,0.57,0.1,52.1,37.3,14.8,0.47,-0.07,Matches
378,Sean Longstaff,eng ENG,MF,Newcastle Utd,26,1997,25,798,32,23.3,8.9,8,72,3,17,13,13,1.88,9,11,-2,-0.23,-1.02,8.8,11.6,-2.8,-0.31,-1.03,Matches
379,Saša Lukić,rs SRB,MF,Fulham,27,1996,30,"2,344",78,68.5,26,28,82,10,2,31,0,1.37,37,37,0,0,0,32.5,32.5,0,0,-0.15,Matches
380,Joe Lumley,eng ENG,GK,Southampton,29,1995,3,270,90,7.9,3,3,90,3,0,,5,0.33,2,7,-5,-1.67,-0.1,2.8,9.1,-6.3,-2.09,-0.77,Matches
381,Massimo Luongo,au AUS,MF,Ipswich Town,31,1992,11,201,18,5.9,2.2,2,68,0,9,7,11,0.55,1,6,-5,-2.24,-1.09,1,6.7,-5.7,-2.52,-1.61,Matches
382,Ian Maatsen,nl NED,DF,Aston Villa,22,2002,29,"1,139",39,33.3,12.7,10,78,6,19,19,8,1.76,24,16,8,0.63,0.67,24,17.2,6.8,0.53,0.57,Matches
383,Alexis Mac Allister,ar ARG,MF,Liverpool,25,1998,35,"2,599",74,76,28.9,30,82,17,5,26,0,2.34,69,24,45,1.56,1.56,64.2,24.3,39.9,1.38,0.98,Matches
384,James Maddison,eng ENG,MF,Tottenham,27,1996,31,"1,809",58,52.9,20.1,21,75,1,10,24,1,1.1,37,32,5,0.25,0.58,31.5,33,-1.5,-0.08,0.09,Matches
385,Noni Madueke,eng ENG,FW,Chelsea,22,2002,32,"2,033",64,59.4,22.6,27,73,6,5,14,1,1.97,38,28,10,0.44,-0.27,43.1,28.9,14.3,0.63,0.23,Matches
386,Gabriel Magalhães,br BRA,DF,Arsenal,26,1997,28,"2,363",84,69.1,26.3,28,84,25,0,,0,2.04,50,22,28,1.07,0.47,40.3,23.1,17.2,0.66,-0.05,Matches
387,Edmond-Paris Maghoma,eng ENG,"MF,FW",Brentford,23,2001,8,119,15,3.5,1.3,0,,0,8,15,15,1.25,3,1,2,1.51,1.32,2.2,1.8,0.4,0.28,0.19,Matches
388,Harry Maguire,eng ENG,DF,Manchester Utd,31,1993,27,"1,758",65,51.4,19.5,19,82,13,8,26,3,1.07,20,27,-7,-0.36,-0.2,26.4,26.6,-0.2,-0.01,0.05,Matches
389,Kobbie Mainoo,eng ENG,MF,Manchester Utd,19,2005,25,"1,651",66,48.3,18.3,19,76,8,6,35,1,1,19,27,-8,-0.44,-0.33,27.7,25.4,2.3,0.12,0.3,Matches
390,Tyrell Malacia,nl NED,DF,Manchester Utd,24,1999,3,100,33,2.9,1.1,2,45,0,1,10,8,1,0,1,-1,-0.9,-0.66,1,0.9,0.1,0.08,0.11,Matches
391,Donyell Malen,nl NED,FW,Aston Villa,25,1999,14,305,22,8.9,3.4,2,62,0,12,15,3,1.93,7,6,1,0.3,0.12,7,4.7,2.3,0.67,0.57,Matches
392,Mateus Mane,,MF,Wolves,,,1,2,2,0.1,0,0,,0,1,2,4,0,0,0,0,0,0.39,0,0,0,0,0.38,Matches
393,Orel Mangala,be BEL,MF,Everton,26,1998,19,"1,261",66,36.9,14,14,84,10,5,18,0,1.21,13,10,3,0.21,0.42,14.2,16.8,-2.6,-0.19,-0.11,Matches
394,Ryan Manning,ie IRL,"DF,MF",Southampton,28,1996,24,"1,462",61,42.7,16.2,18,77,5,6,14,7,0.29,12,35,-23,-1.42,0.28,14,35.3,-21.3,-1.31,0.1,Matches
395,Solly March,eng ENG,"FW,MF",Brighton,30,1994,8,168,21,4.9,1.9,1,62,0,7,15,5,1.75,4,3,1,0.54,0.37,3.4,2.8,0.6,0.34,0.25,Matches
396,Omar Marmoush,eg EGY,"FW,MF",Manchester City,25,1999,16,"1,175",73,34.4,13.1,14,82,4,2,15,0,2.06,26,12,14,1.07,0.51,23.9,14.1,9.8,0.75,0.33,Matches
397,Zachariah Marsh,eng ENG,FW,Crystal Palace,18,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
398,Gabriel Martinelli,br BRA,"FW,MF",Arsenal,23,2001,33,"2,290",69,67,25.4,25,81,10,8,33,2,1.94,45,25,20,0.79,-0.41,38.5,25.9,12.6,0.49,-0.54,Matches
399,Emiliano Martínez,ar ARG,GK,Aston Villa,31,1992,37,"3,194",86,93.4,35.5,37,86,34,0,,0,1.7,56,45,11,0.31,1.9,53.5,44.7,8.9,0.25,1.42,Matches
400,Lisandro Martínez,ar ARG,DF,Manchester Utd,26,1998,20,"1,751",88,51.2,19.5,20,88,17,0,,2,1.35,25,27,-2,-0.1,0.33,29.7,29.7,-0.1,0,0.06,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
401,Pape Matar Sarr,sn SEN,MF,Tottenham,21,2002,36,"1,913",53,55.9,21.3,22,70,6,14,27,2,0.97,34,38,-4,-0.19,-0.37,31,36.7,-5.7,-0.27,-0.34,Matches
402,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,27,1997,37,"2,648",72,77.4,29.4,33,78,17,4,19,0,1.35,43,37,6,0.2,0.9,47.3,36.6,10.7,0.37,0.3,Matches
403,Remi Matthews,eng ENG,GK,Crystal Palace,30,1994,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
404,Neal Maupay,fr FRA,"FW,MF",Everton,27,1996,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
405,Stephy Mavididi,eng ENG,FW,Leicester City,26,1998,30,"1,615",54,47.2,17.9,16,81,3,14,23,3,0.5,18,38,-20,-1.11,0.23,17.9,36.1,-18.1,-1.01,0.04,Matches
406,Konstantinos Mavropanos,gr GRE,DF,West Ham,26,1997,33,"2,045",62,59.8,22.7,21,85,17,12,22,3,1.15,22,38,-16,-0.7,-0.7,25.9,36.7,-10.9,-0.48,-0.36,Matches
407,Ezra Mayers,bb BRB,DF,West Ham,17,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
408,Noussair Mazraoui,ma MAR,DF,Manchester Utd,26,1997,37,"2,838",77,83,31.5,34,81,20,3,24,0,1.14,23,43,-20,-0.63,-2.18,38.6,45.5,-6.9,-0.22,-1.08,Matches
409,Bryan Mbeumo,cm CMR,FW,Brentford,24,1999,38,"3,414",90,99.8,37.9,38,90,35,0,,0,1.47,66,55,11,0.29,30.29,58.5,54.6,3.9,0.1,4.39,Matches
410,James Mcatee,eng ENG,"MF,FW",Manchester City,21,2002,15,349,23,10.2,3.9,3,66,0,12,13,20,2.33,9,6,3,0.77,0.04,7.5,5.2,2.3,0.59,0.06,Matches
411,Kasey McAteer,ie IRL,FW,Leicester City,22,2001,18,852,47,24.9,9.5,9,78,1,9,16,2,0.78,10,16,-6,-0.63,0.8,10,19.6,-9.5,-1.01,0.04,Matches
412,Alex McCarthy,eng ENG,GK,Southampton,34,1989,5,450,90,13.2,5,5,90,5,0,,33,0,3,13,-10,-2,-0.48,4.8,10.8,-6.1,-1.21,0.18,Matches
413,James McConnell,eng ENG,MF,Liverpool,19,2004,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
414,Ruairi Mcconville,nir NIR,DF,Brighton,19,2005,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
415,John McGinn,sct SCO,"MF,FW",Aston Villa,29,1994,34,"2,223",65,65,24.7,27,77,11,7,21,0,1.76,33,34,-1,-0.04,-0.64,35.8,34.8,1,0.04,-0.33,Matches
416,Callan Mckenna,sct SCO,GK,Bournemouth,17,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
417,Dwight McNeil,eng ENG,"MF,FW",Everton,24,1999,21,"1,371",65,40.1,15.2,15,85,10,6,15,0,1.29,20,24,-4,-0.26,-0.35,17.5,21.5,-4,-0.26,-0.24,Matches
418,Scott McTominay,sct SCO,MF,Manchester Utd,27,1996,2,19,10,0.6,0.2,0,,0,2,10,0,1.5,1,1,0,0,0.26,0.8,0.6,0.2,0.91,0.95,Matches
419,Ben Mee,eng ENG,DF,Brentford,34,1989,7,183,26,5.4,2,2,84,1,5,3,28,1.86,1,4,-3,-1.48,-1.81,2.9,2.7,0.2,0.1,0,Matches
420,Dermot Mee,nir NIR,GK,Manchester Utd,21,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
421,Jayden Meghoma,eng ENG,DF,Brentford,18,2006,1,5,5,0.1,0.1,0,,0,1,5,13,0,1,0,1,18,17.79,0.2,0.1,0.1,1.56,1.47,Matches
422,Mikel Merino,es ESP,"MF,FW",Arsenal,28,1996,28,"1,586",57,46.4,17.6,17,83,11,11,16,0,1.79,28,17,11,0.62,-0.55,28.9,15.5,13.4,0.76,0.17,Matches
423,Jenson Metcalfe,eng ENG,MF,Everton,19,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
424,Bastien Meupiyou,fr FRA,DF,Wolves,18,2006,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
425,Shumaira Mheuka,eng ENG,MF,Chelsea,16,2007,1,1,1,0,0,0,,0,1,1,1,3,0,0,0,0,-0.55,0.1,0,0.1,9.35,8.82,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
426,Carlos Miguel,br BRA,GK,Nott'ham Forest,25,1998,0,,,,,0,,0,0,,33,,,,,,,,,,,,Matches
427,Nikola Milenković,rs SRB,DF,Nott'ham Forest,26,1997,37,"3,330",90,97.4,37,37,90,37,0,,0,1.73,57,45,12,0.32,0.32,44.2,47.7,-3.5,-0.09,-0.19,Matches
428,Lewis Miley,eng ENG,MF,Newcastle Utd,18,2006,14,313,22,9.2,3.5,1,90,1,13,17,12,2.14,6,4,2,0.58,0.02,4.9,5.2,-0.3,-0.09,-0.63,Matches
429,James Milner,eng ENG,MF,Brighton,38,1986,4,170,43,5,1.9,3,56,0,1,1,0,2.5,4,1,3,1.59,1.48,2.8,2,0.8,0.42,0.33,Matches
430,Tyrone Mings,eng ENG,DF,Aston Villa,31,1993,14,"1,120",80,32.7,12.4,12,81,9,2,73,13,2.29,26,11,15,1.21,1.52,23.5,13.1,10.5,0.84,1.02,Matches
431,Yang Minhyeok,kr KOR,MF,Tottenham,18,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
432,Yankuba Minteh,gm GAM,"FW,MF",Brighton,20,2004,32,"1,838",57,53.7,20.4,20,78,3,12,24,1,1.59,37,33,4,0.2,0.03,34.5,27.6,6.9,0.34,0.49,Matches
433,Tyrick Mitchell,eng ENG,DF,Crystal Palace,24,1999,37,"3,092",84,90.4,34.4,37,84,25,0,,1,1.35,43,46,-3,-0.09,-0.91,53.3,45.3,8,0.23,-0.68,Matches
434,Kaoru Mitoma,jp JPN,"FW,MF",Brighton,27,1997,36,"2,603",72,76.1,28.9,28,85,14,8,29,0,1.64,53,40,13,0.45,1.11,44.1,37.1,6.9,0.24,0.55,Matches
435,Jakub Moder,pl POL,MF,Brighton,25,1999,4,11,3,0.3,0.1,0,,0,4,3,9,1.75,0,0,0,0,-0.18,0.4,0.3,0.2,1.3,1.19,Matches
436,Jeremy Monga,,"FW,MF",Leicester City,,,7,112,16,3.3,1.2,0,,0,7,16,0,1,2,3,-1,-0.8,0.45,0.9,1.6,-0.6,-0.52,0.53,Matches
437,Jayden Moore,,DF,Southampton,,,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
438,Mikey Moore,eng ENG,FW,Tottenham,16,2007,10,366,37,10.7,4.1,3,64,0,7,25,8,1,4,5,-1,-0.25,-0.25,4.7,6.7,-2.1,-0.51,-0.44,Matches
439,Jack Moorhouse,eng ENG,MF,Manchester Utd,18,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
440,Morato,br BRA,DF,Nott'ham Forest,23,2001,26,907,35,26.5,10.1,6,84,4,20,20,8,2.15,19,14,5,0.5,0.25,13.4,14,-0.6,-0.06,0.05,Matches
441,Álex Moreno,es ESP,"DF,MF",Nott'ham Forest,31,1993,15,955,64,27.9,10.6,11,79,3,4,23,12,1.4,11,16,-5,-0.47,-1.09,10.8,13.6,-2.9,-0.27,-0.25,Matches
442,Iwan Morgan,wls WAL,FW,Brentford,18,2006,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
443,Sam Morsy,eg EGY,MF,Ipswich Town,32,1991,33,"2,751",83,80.4,30.6,31,88,23,2,16,2,0.64,28,67,-39,-1.28,-0.33,28.3,56.5,-28.2,-0.92,0.44,Matches
444,Tyler Morton,eng ENG,MF,Liverpool,21,2002,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
445,Yerson Mosquera,co COL,DF,Wolves,23,2001,5,441,88,12.9,4.9,5,88,4,0,,0,0.2,5,12,-7,-1.43,-1.19,4.9,6,-1.1,-0.22,0.18,Matches
446,Mason Mount,eng ENG,MF,Manchester Utd,25,1999,17,622,37,18.2,6.9,8,53,0,9,22,3,0.88,2,11,-9,-1.3,-1.27,9.8,8.1,1.7,0.25,0.34,Matches
447,Divin Mubama,eng ENG,FW,Manchester City,19,2004,1,28,28,0.8,0.3,0,,0,1,28,4,3,1,0,1,3.21,2.5,0.6,0,0.6,1.97,1.44,Matches
448,Mykhailo Mudryk,ua UKR,FW,Chelsea,23,2001,7,151,22,4.4,1.7,1,45,0,6,18,5,1.86,4,2,2,1.19,0.67,3,3.7,-0.7,-0.41,-0.99,Matches
449,Marshall Munetsi,zw ZIM,"MF,FW",Wolves,28,1996,14,"1,078",77,31.5,12,12,84,9,2,35,0,1.64,18,11,7,0.58,1.43,16.1,14.6,1.5,0.13,0.74,Matches
450,Rodrigo Muniz,br BRA,FW,Fulham,23,2001,31,964,31,28.2,10.7,8,72,0,23,17,1,1.55,25,17,8,0.75,1.04,16.9,15.2,1.6,0.15,0.15,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
451,Daniel Muñoz,co COL,DF,Crystal Palace,28,1996,37,"3,228",87,94.4,35.9,37,87,33,0,,0,1.43,48,46,2,0.06,0.99,57.1,45.5,11.6,0.32,0.46,Matches
452,Arijanet Muric,xk KVX,GK,Ipswich Town,25,1998,18,"1,620",90,47.4,18,18,90,18,0,,8,0.67,17,33,-16,-0.89,0.61,17.5,35.2,-17.7,-0.98,0.05,Matches
453,Murillo,br BRA,DF,Nott'ham Forest,22,2002,36,"3,188",89,93.2,35.4,36,89,33,0,,0,1.69,50,44,6,0.17,-2.16,41.2,46.3,-5.1,-0.14,-0.79,Matches
454,Alex Murphy,ie IRL,DF,Newcastle Utd,20,2004,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
455,Jacob Murphy,eng ENG,FW,Newcastle Utd,29,1995,35,"2,360",67,69,26.2,31,72,6,4,30,2,1.69,54,31,23,0.88,1.05,48.9,27.7,21.2,0.81,1.06,Matches
456,Vitaliy Mykolenko,ua UKR,DF,Everton,25,1999,35,"3,082",88,90.1,34.2,35,88,33,0,,0,1.29,38,39,-1,-0.03,0.24,37.6,40,-2.4,-0.07,0.49,Matches
457,Amara Nallo,eng ENG,DF,Liverpool,17,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
458,Iliman Ndiaye,sn SEN,FW,Everton,24,2000,33,"2,430",74,71.1,27,29,80,14,4,29,0,1.24,32,24,8,0.3,1.21,28.2,29.2,-1,-0.04,0.28,Matches
459,Wilfred Ndidi,ng NGA,MF,Leicester City,27,1996,28,"2,324",83,68,25.8,28,83,15,0,,0,0.79,24,48,-24,-0.93,0.96,20.7,48.3,-27.7,-1.07,-0.12,Matches
460,Sean Neave,eng ENG,FW,Newcastle Utd,17,2007,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
461,Kosta Nedeljković,rs SRB,DF,Aston Villa,18,2005,5,126,25,3.7,1.4,0,,0,5,25,11,1.2,0,4,-4,-2.86,-3.16,1.9,2.1,-0.2,-0.13,-0.3,Matches
462,Benjamin Nelson,eng ENG,DF,Leicester City,20,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
463,Reiss Nelson,eng ENG,FW,Arsenal,24,1999,1,3,3,0.1,0,0,,0,1,3,1,3,0,0,0,0,-0.92,0,0,0,0.1,-0.57,Matches
464,Reiss Nelson,eng ENG,FW,Fulham,24,1999,11,487,44,14.2,5.4,5,73,0,6,21,0,1.64,5,9,-4,-0.74,-0.86,7.6,6.2,1.4,0.26,0.25,Matches
465,Neto,br BRA,GK,Arsenal,35,1989,0,,,,,0,,0,0,,33,,,,,,,,,,,,Matches
466,Neto,br BRA,GK,Bournemouth,35,1989,2,180,90,5.3,2,2,90,2,0,,0,1,2,2,0,0,-0.33,3.5,2.9,0.5,0.25,-0.16,Matches
467,Pedro Neto,pt POR,FW,Chelsea,24,2000,35,"2,269",65,66.3,25.2,24,82,15,11,27,1,1.71,40,25,15,0.59,0.13,39.2,28.2,10.9,0.43,-0.32,Matches
468,Josh Nichols,eng ENG,DF,Arsenal,18,2006,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
469,Eddie Nketiah,eng ENG,FW,Arsenal,25,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
