,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,
470,Eddie Nketiah,eng ENG,"FW,MF",Crystal Palace,25,1999,29,"1,034",36,30.2,11.5,9,77,2,20,17,2,1.52,15,17,-2,-0.17,-0.25,19.5,13.8,5.6,0.49,0.28,Matches
471,Christopher Nkunku,fr FRA,FW,Chelsea,26,1997,27,921,34,26.9,10.2,9,74,2,18,14,6,1.67,16,16,0,0,-0.76,21.2,16,5.3,0.51,-0.03,Matches
472,Gustavo Nunes,br BRA,"FW,MF",Brentford,18,2005,3,12,4,0.4,0.1,0,,0,3,4,4,2.33,0,2,-2,-15,-15.29,0.1,0.3,-0.2,-1.86,-1.96,Matches
473,Matheus Nunes,pt POR,"DF,MF",Manchester City,25,1998,26,"1,674",64,48.9,18.6,19,86,16,7,5,9,2.08,33,19,14,0.75,0.03,31.9,24.4,7.5,0.41,-0.26,Matches
474,Darwin Núñez,uy URU,FW,Liverpool,25,1999,30,"1,133",38,33.1,12.6,8,78,2,22,23,5,2.07,29,21,8,0.64,-0.82,27.2,16.6,10.6,0.84,-0.46,Matches
475,Ethan Nwaneri,eng ENG,"FW,MF",Arsenal,17,2007,26,895,34,26.2,9.9,11,65,1,15,12,10,1.85,16,4,12,1.21,0.39,14.5,5.4,9.1,0.91,0.33,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
476,Trey Nyoni,eng ENG,MF,Liverpool,17,2007,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
477,Christian Nørgaard,dk DEN,MF,Brentford,30,1994,34,"2,819",83,82.4,31.3,34,83,22,0,,0,1.59,55,45,10,0.32,0.47,50.3,43.7,6.6,0.21,0.66,Matches
478,Jake O'Brien,ie IRL,DF,Everton,23,2001,20,"1,571",79,45.9,17.5,17,90,16,3,15,17,1.4,24,17,7,0.4,0.84,22.2,18.2,4,0.23,0.64,Matches
479,Joe O'Brien-Whitmarsh,ie IRL,MF,Southampton,,,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
480,Mark O'Mahony,ie IRL,FW,Brighton,19,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
481,Matt O'Riley,dk DEN,MF,Brighton,23,2000,21,938,45,27.4,10.4,11,68,0,10,19,3,1.48,17,20,-3,-0.29,-0.65,17.2,14.3,2.8,0.27,0.23,Matches
482,Dara O'Shea,ie IRL,DF,Ipswich Town,25,1999,35,"3,122",89,91.3,34.7,35,89,34,0,,1,0.6,34,75,-41,-1.18,0.33,32.6,65.3,-32.7,-0.94,0.76,Matches
483,Chidozie Obi-Martin,dk DEN,FW,Manchester Utd,16,2007,7,165,24,4.8,1.8,1,90,1,6,13,4,1.14,8,5,3,1.64,2,5.5,3.6,1.9,1.03,1.11,Matches
484,Wilson Odobert,fr FRA,"FW,MF",Tottenham,19,2004,16,850,53,24.9,9.4,9,77,3,7,23,0,0.88,9,20,-11,-1.16,-1.51,10.8,16.3,-5.5,-0.58,-0.61,Matches
485,Chiedozie Ogbene,ie IRL,FW,Ipswich Town,27,1997,5,238,48,7,2.6,3,63,0,2,25,2,0.6,4,3,1,0.38,1.71,1.7,2.3,-0.6,-0.24,0.82,Matches
486,Wesley Okoduwa,eng ENG,FW,Wolves,16,2008,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
487,Caleb Okoli,it ITA,DF,Leicester City,23,2001,19,"1,125",59,32.9,12.5,12,85,8,7,16,18,0.53,15,26,-11,-0.88,0.53,11.8,27,-15.2,-1.21,-0.27,Matches
488,Robin Olsen,se SWE,GK,Aston Villa,34,1990,4,226,57,6.6,2.5,1,90,1,3,45,26,0.75,2,6,-4,-1.59,-1.9,2.5,5.5,-2.9,-1.17,-1.42,Matches
489,Callum Olusesi,eng ENG,MF,Tottenham,17,2007,0,,,,,0,,0,0,,14,,,,,,,,,,,,Matches
490,Andrew Omobamidele,ie IRL,DF,Nott'ham Forest,22,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
491,Amadou Onana,be BEL,MF,Aston Villa,22,2001,26,"1,617",62,47.3,18,20,74,7,6,24,2,1.77,25,23,2,0.11,-0.14,24.1,23.4,0.8,0.04,-0.21,Matches
492,André Onana,cm CMR,GK,Manchester Utd,28,1996,34,"3,060",90,89.5,34,34,90,34,0,,0,1.15,38,44,-6,-0.18,0.82,45.3,46.8,-1.5,-0.04,-0.11,Matches
493,Paul Onuachu,ng NGA,FW,Southampton,30,1994,25,"1,050",42,30.7,11.7,11,72,4,14,19,3,0.36,11,26,-15,-1.29,0.42,10.5,23.5,-13,-1.12,0.37,Matches
494,Frank Onyeka,ng NGA,MF,Brentford,26,1998,2,25,13,0.7,0.3,0,,0,2,13,0,1.5,0,0,0,0,-0.24,0,0.7,-0.7,-2.48,-2.59,Matches
495,Lewis Orford,eng ENG,MF,West Ham,18,2006,2,49,25,1.4,0.5,0,,0,2,25,3,0,0,1,-1,-1.84,-1.44,0.6,1.2,-0.6,-1.08,-0.76,Matches
496,Stefan Ortega,de GER,GK,Manchester City,31,1992,13,"1,100",85,32.2,12.2,12,90,12,1,20,25,1.69,23,18,5,0.41,-0.48,19.1,19,0.1,0.01,-0.78,Matches
497,William Osula,dk DEN,FW,Newcastle Utd,20,2003,14,134,10,3.9,1.5,0,,0,14,10,24,1.29,1,3,-2,-1.34,-1.97,2.4,3.3,-0.9,-0.63,-1.16,Matches
498,Dango Ouattara,bf BFA,FW,Bournemouth,22,2002,32,"2,005",63,58.6,22.3,21,81,7,11,27,0,1.56,36,23,13,0.58,0.65,35.9,31.2,4.7,0.21,-0.48,Matches
499,Salah Oulad M'Hand,nl NED,MF,Arsenal,20,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
500,Nico O’Reilly,eng ENG,DF,Manchester City,19,2005,9,528,59,15.4,5.9,6,82,4,3,13,21,2.56,12,3,9,1.53,0.94,11.1,5.5,5.7,0.97,0.51,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
501,Alex Palmer,eng ENG,GK,Ipswich Town,27,1996,13,"1,170",90,34.2,13,13,90,13,0,,0,0.46,13,30,-17,-1.31,-0.15,11.3,23.7,-12.4,-0.95,0.09,Matches
502,Cole Palmer,eng ENG,"MF,FW",Chelsea,22,2002,37,"3,191",86,93.3,35.5,36,88,26,1,32,0,1.86,63,41,22,0.62,1.01,64.8,44.1,20.7,0.58,0.65,Matches
503,Emerson Palmieri,it ITA,DF,West Ham,29,1994,31,"2,113",68,61.8,23.5,26,77,7,5,24,4,1.16,32,41,-9,-0.38,0.1,28,37.1,-9.1,-0.39,-0.14,Matches
504,Lucas Paquetá,br BRA,"MF,FW",West Ham,26,1997,33,"2,380",72,69.6,26.4,27,82,16,6,29,1,0.94,34,50,-16,-0.61,-0.61,28.7,42.9,-14.2,-0.54,-0.67,Matches
505,Thomas Partey,gh GHA,"MF,DF",Arsenal,31,1993,35,"2,797",80,81.8,31.1,31,88,25,4,19,2,1.91,52,30,22,0.71,-1.17,43.7,30.3,13.4,0.43,-1.31,Matches
506,Nathan Patterson,sct SCO,DF,Everton,22,2001,10,347,35,10.1,3.9,3,73,0,7,18,18,1.2,4,6,-2,-0.52,-0.52,3.5,4.4,-0.9,-0.24,-0.14,Matches
507,Myles Peart-Harris,eng ENG,MF,Brentford,21,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
508,Andreas Pereira,br BRA,MF,Fulham,28,1996,33,"2,013",61,58.9,22.4,25,74,3,8,22,2,1.39,31,32,-1,-0.04,-0.11,29.3,27.1,2.2,0.1,0.13,Matches
509,Ricardo Pereira,pt POR,DF,Leicester City,30,1993,10,388,39,11.3,4.3,4,68,0,6,19,8,0.5,3,8,-5,-1.16,0.09,3.1,7,-3.9,-0.9,0.15,Matches
510,Kalvin Phillips,eng ENG,MF,Ipswich Town,28,1995,19,"1,237",65,36.2,13.7,14,82,6,5,19,6,0.68,12,29,-17,-1.24,-0.04,9.8,26.7,-16.8,-1.23,-0.34,Matches
511,Jaden Philogene Bidace,eng ENG,"FW,MF",Aston Villa,22,2002,11,332,30,9.7,3.7,2,78,1,9,20,3,1.64,2,5,-3,-0.81,-1.1,4.7,4.7,0,-0.01,-0.18,Matches
512,Jaden Philogene Bidace,eng ENG,"FW,DF",Ipswich Town,22,2002,10,474,47,13.9,5.3,5,81,2,5,14,1,0.4,3,17,-14,-2.66,-1.68,4.5,9.5,-4.9,-0.94,0.08,Matches
513,Jordan Pickford,eng ENG,GK,Everton,30,1994,38,"3,420",90,100,38,38,90,38,0,,0,1.26,42,44,-2,-0.05,,41.8,46.2,-4.5,-0.12,,Matches
514,Ethan Pinnock,jm JAM,DF,Brentford,31,1993,22,"1,913",87,55.9,21.3,21,90,20,1,31,9,1.5,40,35,5,0.24,0,31.4,33.9,-2.4,-0.11,-0.47,Matches
515,Daniel Podence,pt POR,"MF,FW",Wolves,28,1995,2,48,24,1.4,0.5,0,,0,2,24,0,0,0,2,-2,-3.75,-3.4,0.3,0.8,-0.5,-0.93,-0.56,Matches
516,Alfie Pond,eng ENG,DF,Wolves,20,2004,1,1,1,0,0,0,,0,1,1,7,3,0,0,0,0,0.39,0,0,0,0,0.38,Matches
517,Nick Pope,eng ENG,GK,Newcastle Utd,32,1992,28,"2,520",90,73.7,28,28,90,28,0,,3,1.61,45,35,10,0.36,-0.74,43.6,34.7,8.9,0.32,-0.62,Matches
518,Pedro Porro,es ESP,DF,Tottenham,24,1999,33,"2,610",79,76.3,29,28,89,24,5,26,5,1.12,54,47,7,0.24,1.13,48.6,50.2,-1.6,-0.05,0.27,Matches
519,Jack Porter,eng ENG,GK,Arsenal,16,2008,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
520,Jarell Quansah,eng ENG,DF,Liverpool,21,2003,13,495,38,14.5,5.5,4,79,3,9,20,25,2.08,13,12,1,0.18,-1.17,10.3,10.3,0,-0.01,-1.35,Matches
521,Samuel Rak-Sakyi,eng ENG,MF,Chelsea,19,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
522,Aaron Ramsdale,eng ENG,GK,Arsenal,26,1998,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
523,Aaron Ramsdale,eng ENG,GK,Southampton,26,1998,30,"2,700",90,78.9,30,30,90,30,0,,0,0.37,21,66,-45,-1.5,0.38,25,64.9,-39.8,-1.33,0.21,Matches
524,Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,23,2001,29,"1,623",56,47.5,18,19,68,2,10,34,0,1.79,25,26,-1,-0.06,-0.46,24.7,23.9,0.8,0.04,-0.22,Matches
525,Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,26,1997,15,978,65,28.6,10.9,12,74,4,3,31,1,1.27,15,9,6,0.55,1.14,15.2,14.5,0.7,0.06,0.13,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
526,Marcus Rashford,eng ENG,FW,Aston Villa,26,1997,10,444,44,13,4.9,4,68,0,6,29,0,2,7,6,1,0.2,0.02,8.9,6.9,2,0.41,0.29,Matches
527,David Raya,es ESP,GK,Arsenal,28,1995,38,"3,420",90,100,38,38,90,38,0,,0,1.95,69,34,35,0.92,,59.9,34.4,25.5,0.67,,Matches
528,Harrison Reed,eng ENG,MF,Fulham,29,1995,12,108,9,3.2,1.2,0,,0,12,9,14,1.75,1,3,-2,-1.67,-1.72,1.3,4.6,-3.3,-2.96,-3.1,Matches
529,Remy Rees-Dottin,eng ENG,FW,Bournemouth,18,2006,1,1,1,0,0,0,,0,1,1,6,3,0,0,0,0,-0.32,0,0,0,0,-0.41,Matches
530,Sergio Reguilón,es ESP,DF,Tottenham,27,1996,4,196,49,5.7,2.2,1,73,0,3,41,10,0.25,0,3,-3,-1.38,-1.43,2.4,2.4,0,-0.01,0.11,Matches
531,Vitor Reis,br BRA,DF,Manchester City,18,2006,1,1,1,0,0,0,,0,1,1,8,3,0,0,0,0,-0.74,0,0,0,0,-0.54,Matches
532,Chadi Riad,ma MAR,DF,Crystal Palace,21,2003,1,90,90,2.6,1,1,90,1,0,,5,0,0,2,-2,-2,-2.05,1.3,1.4,0,-0.01,-0.32,Matches
533,Declan Rice,eng ENG,MF,Arsenal,25,1999,35,"2,825",81,82.6,31.4,33,84,23,2,23,1,1.91,56,28,28,0.89,-0.17,48.8,26.8,22,0.7,0.17,Matches
534,Chris Richards,us USA,DF,Crystal Palace,24,2000,24,"1,922",80,56.2,21.4,22,87,18,2,6,5,1.54,30,31,-1,-0.05,-0.11,37.9,29.1,8.8,0.41,0.26,Matches
535,Richarlison,br BRA,FW,Tottenham,27,1997,15,504,34,14.7,5.6,4,72,1,11,20,2,0.93,11,9,2,0.36,0.45,8.4,7.3,1,0.18,0.35,Matches
536,Andrew Robertson,sct SCO,DF,Liverpool,30,1994,33,"2,482",75,72.6,27.6,29,82,16,4,29,5,2.27,70,31,39,1.41,0.84,61,27.3,33.7,1.22,0.27,Matches
537,Antonee Robinson,us USA,DF,Fulham,26,1997,36,"3,167",88,92.6,35.2,35,90,34,1,19,0,1.42,49,49,0,0,0,44.8,44.3,0.4,0.01,-0.48,Matches
538,Jay Robinson,eng ENG,"MF,FW",Southampton,17,2007,4,137,34,4,1.5,1,78,0,3,20,1,0,1,2,-1,-0.66,0.96,1.6,3.2,-1.6,-1.08,0.3,Matches
539,Kaden Rodney,eng ENG,"DF,MF",Crystal Palace,19,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
540,Rodri,es ESP,MF,Manchester City,28,1996,3,73,24,2.1,0.8,1,20,0,2,27,2,2.33,2,1,1,1.23,0.51,2.2,0.3,1.9,2.36,1.86,Matches
541,Guido Rodríguez,ar ARG,MF,West Ham,30,1994,23,"1,149",50,33.6,12.8,16,69,3,7,5,13,1.43,19,19,0,0,0.63,17.5,20.6,-3.1,-0.25,0.13,Matches
542,Mads Roerslev,dk DEN,DF,Brentford,25,1999,19,"1,101",58,32.2,12.2,11,88,9,8,16,4,1.21,19,20,-1,-0.08,-0.47,20.1,21.1,-1,-0.08,-0.26,Matches
543,Morgan Rogers,eng ENG,"FW,MF",Aston Villa,22,2002,37,"3,114",84,91.1,34.6,37,84,19,0,,0,1.7,52,40,12,0.35,1.82,51.3,43.5,7.8,0.23,0.78,Matches
544,Cristian Romero,ar ARG,DF,Tottenham,26,1998,18,"1,416",79,41.4,15.7,18,79,13,0,,3,1.11,27,22,5,0.32,0.59,27,19.1,7.9,0.5,1.06,Matches
545,John Ruddy,eng ENG,GK,Newcastle Utd,37,1986,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
546,Carl Rushworth,eng ENG,GK,Brighton,23,2001,0,,,,,0,,0,0,,14,,,,,,,,,,,,Matches
547,Georginio Rutter,fr FRA,"MF,FW",Brighton,22,2002,28,"1,656",59,48.4,18.4,19,76,3,9,24,0,1.57,32,29,3,0.16,-0.04,27.1,27.3,-0.3,-0.01,-0.24,Matches
548,José Sá,pt POR,GK,Wolves,31,1993,29,"2,609",90,76.3,29,29,90,28,0,,4,1.31,42,48,-6,-0.21,0.79,35.2,42,-6.8,-0.23,0.62,Matches
549,Dominic Sadi,eng ENG,MF,Bournemouth,20,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
550,Bukayo Saka,eng ENG,"FW,MF",Arsenal,22,2001,25,"1,729",69,50.6,19.2,20,79,7,5,32,0,1.96,38,21,17,0.88,-0.07,34.8,17.6,17.3,0.9,0.46,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
551,Mohamed Salah,eg EGY,FW,Liverpool,32,1992,38,"3,371",89,98.6,37.5,38,89,29,0,,0,2.21,85,40,45,1.2,1.2,81.6,38.1,43.5,1.16,1.05,Matches
552,William Saliba,fr FRA,DF,Arsenal,23,2001,35,"3,039",87,88.9,33.8,35,87,32,0,,0,1.97,62,27,35,1.04,1.04,54.2,29.8,24.4,0.72,0.48,Matches
553,Imari Samuels,eng ENG,DF,Brighton,21,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
554,Ishé Samuels-Smith,eng ENG,DF,Chelsea,18,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
555,Robert Sánchez,es ESP,GK,Chelsea,26,1997,32,"2,880",90,84.2,32,32,90,32,0,,6,1.88,52,34,18,0.56,0.06,53.8,38.5,15.3,0.48,-0.39,Matches
556,Jadon Sancho,eng ENG,FW,Chelsea,24,2000,31,"1,764",57,51.6,19.6,19,76,7,12,27,1,1.84,35,24,11,0.56,0.02,35.6,23.5,12.1,0.62,0.16,Matches
557,Ibrahim Sangaré,ci CIV,MF,Nott'ham Forest,26,1997,13,590,45,17.3,6.6,7,72,1,6,14,5,1.46,11,6,5,0.76,0.54,9.5,8.2,1.3,0.2,0.36,Matches
558,Pablo Sarabia,es ESP,"MF,FW",Wolves,32,1992,23,814,35,23.8,9,7,63,0,16,23,7,1.25,14,19,-5,-0.55,-0.21,11.9,15.7,-3.7,-0.41,-0.04,Matches
559,Jeremy Sarmiento,ec ECU,MF,Brighton,22,2002,1,9,9,0.3,0.1,0,,0,1,9,0,3,1,0,1,10,9.84,0.1,0,0.1,0.68,0.57,Matches
560,Ismaila Sarr,sn SEN,MF,Crystal Palace,26,1998,38,"2,711",71,79.3,30.1,30,84,13,8,22,0,1.39,42,39,3,0.1,0.48,50.8,37.9,12.9,0.43,0.63,Matches
561,Sávio,br BRA,"FW,MF",Manchester City,20,2004,29,"1,766",61,51.6,19.6,21,79,7,8,13,7,1.69,32,25,7,0.36,-0.79,36.1,21,15.1,0.77,0.49,Matches
562,Oliver Scarles,eng ENG,"DF,FW",West Ham,18,2005,15,665,44,19.4,7.4,7,70,2,8,22,6,1.13,6,9,-3,-0.41,0.02,8.3,9.9,-1.6,-0.22,0.14,Matches
563,Dane Scarlett,eng ENG,"FW,MF",Tottenham,20,2004,3,34,11,1,0.4,0,,0,3,11,3,2,3,1,2,5.29,5.37,0.6,0.8,-0.2,-0.65,-0.54,Matches
564,Kevin Schade,de GER,FW,Brentford,22,2001,38,"2,293",60,67,25.5,26,79,6,12,21,0,1.47,45,34,11,0.43,0.59,41.8,30.3,11.5,0.45,1.09,Matches
565,Fabian Schär,ch SUI,DF,Newcastle Utd,32,1991,34,"2,934",86,85.8,32.6,33,88,29,1,45,0,1.65,58,42,16,0.49,-0.44,55,36.9,18.1,0.56,0.53,Matches
566,Jeffrey Schlupp,gh GHA,"MF,DF",Crystal Palace,31,1992,12,103,9,3,1.1,0,,0,12,9,12,0.75,2,3,-1,-0.87,-0.9,2.1,1.8,0.3,0.29,-0.01,Matches
567,Alex Scott,eng ENG,MF,Bournemouth,20,2003,20,755,38,22.1,8.4,8,59,0,12,24,1,1.35,10,8,2,0.24,-0.1,12,10,1.9,0.23,-0.23,Matches
568,Matz Sels,be BEL,GK,Nott'ham Forest,32,1992,38,"3,420",90,100,38,38,90,38,0,,0,1.71,58,46,12,0.32,,45.5,48.9,-3.4,-0.09,,Matches
569,Nélson Semedo,pt POR,DF,Wolves,30,1993,34,"2,886",85,84.4,32.1,32,88,21,2,34,0,1.24,49,49,0,0,2.53,36.6,47.2,-10.6,-0.33,0.32,Matches
570,Antoine Semenyo,gh GHA,FW,Bournemouth,24,2000,37,"3,203",87,93.7,35.6,36,88,28,1,26,0,1.43,53,41,12,0.34,0.34,57.8,43.8,14,0.39,-0.25,Matches
571,Marcos Senesi,ar ARG,DF,Bournemouth,27,1997,17,"1,106",65,32.3,12.3,13,80,7,4,17,4,1.47,19,17,2,0.16,-0.23,23.3,14.4,8.9,0.72,0.46,Matches
572,Ryan Sessegnon,eng ENG,"FW,DF",Fulham,24,2000,16,580,36,17,6.4,7,73,1,9,7,16,1.56,13,10,3,0.47,0.56,9.3,8.1,1.3,0.19,0.18,Matches
573,Tommy Setford,eng ENG,GK,Arsenal,18,2006,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
574,Leo Shahar,eng ENG,DF,Newcastle Utd,17,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
575,Luke Shaw,eng ENG,DF,Manchester Utd,29,1995,7,349,50,10.2,3.9,4,67,1,3,28,1,0.71,3,5,-2,-0.52,-0.28,4.4,3.9,0.6,0.15,0.2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
576,Martin Sherif,nl NED,FW,Everton,18,2006,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
577,Zain Silcott-Duberry,ms MSR,FW,Bournemouth,19,2005,1,1,1,0,0,0,,0,1,1,7,3,0,0,0,0,-0.32,0.2,0,0.2,14.02,13.62,Matches
578,Bernardo Silva,pt POR,"MF,FW",Manchester City,29,1994,33,"2,670",81,78.1,29.7,29,90,28,4,15,5,1.79,49,36,13,0.44,-1.36,49,38.9,10.1,0.34,-0.9,Matches
579,Jota Silva,pt POR,"FW,MF",Nott'ham Forest,24,1999,31,854,28,25,9.5,5,68,0,26,20,6,1.71,16,16,0,0,-0.42,14.9,12.6,2.4,0.25,0.45,Matches
580,Eric da Silva Moreira,de GER,"MF,DF",Nott'ham Forest,18,2006,2,30,15,0.9,0.3,0,,0,2,15,7,1.5,0,0,0,0,-0.32,0.1,0.3,-0.2,-0.53,-0.45,Matches
581,Freddie Simmonds,eng ENG,DF,Brighton,16,2008,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
582,Jahmai Simpson-Pusey,eng ENG,DF,Manchester City,18,2005,2,96,48,2.8,1.1,1,90,1,1,6,8,0.5,1,2,-1,-0.94,-1.72,2.2,2.3,-0.2,-0.14,-0.7,Matches
583,Luis Sinisterra,co COL,"FW,MF",Bournemouth,25,1999,12,236,20,6.9,2.6,1,62,0,11,16,1,1.25,5,4,1,0.38,0.07,6.5,3.9,2.6,0.98,0.62,Matches
584,Oliver Skipp,eng ENG,MF,Leicester City,23,2000,24,"1,129",47,33,12.5,10,74,3,14,28,11,0.79,12,26,-14,-1.12,0.18,11.2,25.4,-14.1,-1.13,-0.14,Matches
585,Jacob Slater,ie IRL,DF,Brighton,19,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
586,Cieran Slicker,sct SCO,GK,Ipswich Town,21,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
587,William Smallbone,ie IRL,MF,Southampton,24,2000,18,690,38,20.2,7.7,6,72,2,12,21,2,0.22,4,22,-18,-2.35,-0.96,7,18.8,-11.8,-1.54,-0.21,Matches
