,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,
588,Adam Smith,eng ENG,DF,Bournemouth,33,1991,25,"1,590",64,46.5,17.7,19,75,7,6,28,1,1.48,25,18,7,0.4,0.15,29.7,18.9,10.8,0.61,0.38,Matches
589,Emile Smith Rowe,eng ENG,MF,Fulham,24,2000,34,"2,043",60,59.7,22.7,25,73,0,9,24,0,1.38,29,28,1,0.04,0.11,29.5,25,4.5,0.2,0.38,Matches
590,Dominic Solanke,eng ENG,FW,Tottenham,26,1997,27,"2,201",82,64.4,24.5,25,86,18,2,21,1,0.89,45,43,2,0.08,0.3,40.4,40.6,-0.2,-0.01,0.3,Matches
591,Carlos Soler,es ESP,"MF,FW",West Ham,27,1997,31,"1,409",45,41.2,15.7,14,67,1,17,28,2,1.16,16,25,-9,-0.57,-0.26,16.8,28.2,-11.4,-0.73,-0.67,Matches
592,Julio Soler,ar ARG,"DF,FW",Bournemouth,19,2005,3,11,4,0.3,0.1,0,,0,3,4,10,2,1,1,0,0,-0.32,0.3,0.1,0.2,2.03,1.62,Matches
593,Ramón Sosa,py PAR,"FW,MF",Nott'ham Forest,24,1999,19,295,16,8.6,3.3,1,67,0,18,13,13,1.58,3,5,-2,-0.61,-1.01,3.5,4.6,-1,-0.31,-0.24,Matches
594,Tomáš Souček,cz CZE,MF,West Ham,29,1995,35,"2,567",73,75.1,28.5,30,81,20,5,27,1,1.23,38,44,-6,-0.21,0.84,37.6,43.3,-5.7,-0.2,0.53,Matches
595,Boubakary Soumaré,fr FRA,MF,Leicester City,25,1999,31,"2,171",70,63.5,24.1,25,83,19,6,15,4,0.65,17,52,-35,-1.45,-0.59,19.7,45.7,-26.1,-1.08,-0.13,Matches
596,Djed Spence,eng ENG,DF,Tottenham,23,2000,25,"1,792",72,52.4,19.9,19,89,17,6,16,8,1.08,33,39,-6,-0.3,-0.58,28.2,35.3,-7.1,-0.36,-0.5,Matches
597,Jay Stansfield,eng ENG,MF,Fulham,21,2002,1,1,1,0,0,0,,0,1,1,1,0,0,0,0,0,0,0,0.7,-0.7,-59.86,-59.93,Matches
598,Jason Steele,eng ENG,GK,Brighton,33,1990,2,180,90,5.3,2,2,90,2,0,,24,3,5,1,4,2,1.92,3.5,1.9,1.6,0.82,0.75,Matches
599,Jack Stephens,eng ENG,DF,Southampton,30,1994,19,"1,389",73,40.6,15.4,17,81,12,2,6,4,0.53,8,28,-20,-1.3,0.48,12.7,31.1,-18.3,-1.19,0.31,Matches
600,Raheem Sterling,eng ENG,"FW,MF",Arsenal,29,1994,17,499,29,14.6,5.5,7,56,0,10,11,12,2,12,4,8,1.44,0.61,9.1,4.1,5,0.9,0.27,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
601,Ross Stewart,sct SCO,FW,Southampton,28,1996,12,389,32,11.4,4.3,4,51,0,8,23,0,0.25,5,9,-4,-0.93,0.74,3.9,9.6,-5.7,-1.31,0.07,Matches
602,Jakub Stolarczyk,pl POL,GK,Leicester City,23,2000,10,900,90,26.3,10,10,90,10,0,,11,1,10,16,-6,-0.6,0.86,9.4,14.4,-5,-0.5,0.72,Matches
603,John Stones,eng ENG,"DF,MF",Manchester City,30,1994,11,548,50,16,6.1,6,74,3,5,21,4,2,14,11,3,0.49,-0.29,9.8,5.7,4.1,0.67,0.16,Matches
604,Jørgen Strand Larsen,no NOR,FW,Wolves,24,2000,35,"2,587",74,75.6,28.7,30,80,11,5,35,0,1.11,43,52,-9,-0.31,0.34,32.3,43.2,-10.9,-0.38,0,Matches
605,Yukinari Sugawara,jp JPN,"DF,MF",Southampton,24,2000,30,"1,557",52,45.5,17.3,16,76,6,14,24,5,0.33,13,46,-33,-1.91,-0.6,16.9,40.2,-23.3,-1.34,0.05,Matches
606,Kamaldeen Sulemana,gh GHA,"FW,MF",Southampton,22,2002,26,"1,402",54,41,15.6,17,74,5,9,16,2,0.27,11,36,-25,-1.6,-0.04,10,34.8,-24.7,-1.59,-0.36,Matches
607,Crysencio Summerville,nl NED,"FW,MF",West Ham,22,2001,19,786,41,23,8.7,7,67,1,12,26,1,1.05,13,20,-7,-0.8,-0.49,13.6,17.1,-3.5,-0.4,-0.09,Matches
608,Sil Swinkels,nl NED,DF,Aston Villa,20,2004,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
609,Sammie Szmodics,ie IRL,"FW,MF",Ipswich Town,28,1995,20,992,50,29,11,13,70,0,7,12,2,0.65,11,18,-7,-0.64,0.81,11.4,22.8,-11.4,-1.03,-0.03,Matches
610,Dominik Szoboszlai,hu HUN,MF,Liverpool,23,2000,36,"2,491",69,72.8,27.7,29,80,17,7,26,0,2.22,60,29,31,1.12,-0.24,59.6,27.3,32.3,1.17,0.07,Matches
611,Matt Targett,eng ENG,DF,Newcastle Utd,28,1995,2,21,11,0.6,0.2,0,,0,2,11,16,1.5,1,0,1,4.29,3.76,0.3,0.3,0,0.05,-0.44,Matches
612,James Tarkowski,eng ENG,DF,Everton,31,1992,33,"2,922",89,85.4,32.5,33,89,31,0,,0,1.15,34,38,-4,-0.12,-0.48,35.5,39.5,-4,-0.12,-0.03,Matches
613,Charlie Tasker,eng ENG,DF,Brighton,18,2006,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
614,Marcus Tavernier,eng ENG,"FW,MF",Bournemouth,25,1999,29,"1,939",67,56.7,21.5,20,85,11,9,26,0,1.45,29,29,0,0,-0.73,36.1,25.3,10.8,0.5,0.22,Matches
615,Charlie Taylor,eng ENG,DF,Southampton,30,1993,8,356,45,10.4,4,3,90,3,5,17,6,0.13,3,12,-9,-2.28,-0.78,3.8,9.7,-5.9,-1.49,-0.13,Matches
616,Jack Taylor,ie IRL,MF,Ipswich Town,26,1998,32,860,27,25.1,9.6,4,79,0,28,19,1,0.5,7,21,-14,-1.47,-0.34,6.9,15.5,-8.6,-0.9,0.14,Matches
617,Tom Taylor,,MF,Ipswich Town,,,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
618,Mathys Tel,fr FRA,FW,Tottenham,19,2005,13,911,70,26.6,10.1,11,82,6,2,4,1,0.77,10,20,-10,-0.99,-1.31,14.6,17.2,-2.5,-0.25,-0.18,Matches
619,Kenny Tete,nl NED,DF,Fulham,28,1995,22,"1,774",81,51.9,19.7,21,84,15,1,9,2,1.36,24,26,-2,-0.1,-0.21,25.7,25.1,0.6,0.03,-0.04,Matches
620,Thiago,br BRA,"FW,MF",Brentford,23,2001,8,175,22,5.1,1.9,1,72,0,7,15,0,1.75,3,4,-1,-0.51,-0.79,1.4,3.5,-2.1,-1.1,-1.26,Matches
621,Luke Thomas,eng ENG,DF,Leicester City,23,2001,14,"1,110",79,32.5,12.3,13,85,9,1,4,11,0.57,8,23,-15,-1.22,0.03,8.2,24.5,-16.2,-1.32,-0.42,Matches
622,Youri Tielemans,be BEL,MF,Aston Villa,27,1997,36,"3,026",84,88.5,33.6,35,86,27,1,29,0,1.67,53,46,7,0.21,0.21,51.2,43.6,7.5,0.22,0.59,Matches
623,Kieran Tierney,sct SCO,"DF,FW",Arsenal,27,1997,13,259,20,7.6,2.9,2,62,0,11,12,13,2.08,3,1,2,0.69,-0.24,4.8,2.6,2.1,0.75,0.08,Matches
624,Jurriën Timber,nl NED,DF,Arsenal,23,2001,30,"2,417",81,70.7,26.9,27,87,18,3,25,2,2,52,21,31,1.15,0.8,42.3,21.3,21,0.78,0.38,Matches
625,Jean-Clair Todibo,fr FRA,DF,West Ham,24,1999,27,"1,825",68,53.4,20.3,20,80,9,7,31,5,1.37,30,33,-3,-0.15,0.59,26.6,29.4,-2.8,-0.14,0.43,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
626,Harry Toffolo,eng ENG,DF,Nott'ham Forest,28,1995,4,137,34,4,1.5,1,90,1,3,16,20,2.5,2,2,0,0,-0.33,1.3,2.9,-1.6,-1.05,-1,Matches
627,Takehiro Tomiyasu,jp JPN,DF,Arsenal,25,1998,1,7,7,0.2,0.1,0,,0,1,7,0,3,1,0,1,12.86,11.96,0.6,0,0.5,6.86,6.2,Matches
628,Sandro Tonali,it ITA,MF,Newcastle Utd,24,2000,36,"2,630",73,76.9,29.2,28,86,22,8,27,0,1.72,55,34,21,0.72,0.72,50.7,32.8,17.9,0.61,0.56,Matches
629,Pau Torres,es ESP,DF,Aston Villa,27,1997,24,"2,020",84,59.1,22.4,23,87,22,1,21,4,1.58,30,33,-3,-0.13,-0.78,30.7,29.5,1.3,0.06,-0.24,Matches
630,Conor Townsend,eng ENG,DF,Ipswich Town,31,1993,6,335,56,9.8,3.7,3,87,2,3,25,26,0.83,5,6,-1,-0.27,1.04,3,8,-5,-1.35,-0.37,Matches
631,Adama Traoré,es ESP,"FW,MF",Fulham,28,1996,36,"1,772",49,51.8,19.7,18,76,4,18,23,1,1.47,32,28,4,0.2,0.42,27.9,24.6,3.3,0.17,0.25,Matches
632,Boubacar Traoré,ml MLI,MF,Wolves,22,2001,1,1,1,0,0,0,,0,1,1,7,3,0,0,0,0,0.39,0.6,0,0.6,49.93,50.33,Matches
633,Mark Travers,ie IRL,GK,Bournemouth,25,1999,5,450,90,13.2,5,5,90,5,0,,18,1.6,6,5,1,0.2,-0.13,7,7.3,-0.2,-0.05,-0.53,Matches
634,Ryan Trevitt,eng ENG,MF,Brentford,21,2003,1,4,4,0.1,0,0,,0,1,4,11,0,0,0,0,0,-0.24,0,0,0,0,-0.09,Matches
635,Kieran Trippier,eng ENG,DF,Newcastle Utd,33,1990,25,"1,309",52,38.3,14.5,14,77,2,11,21,6,1.6,29,18,11,0.76,0.33,26.8,17.2,9.6,0.66,0.29,Matches
636,Leandro Trossard,be BEL,FW,Arsenal,29,1994,38,"2,546",67,74.4,28.3,28,82,14,10,25,0,1.95,53,26,27,0.95,0.13,44.5,24.2,20.3,0.72,0.19,Matches
637,Kostas Tsimikas,gr GRE,DF,Liverpool,28,1996,18,837,47,24.5,9.3,9,76,4,9,17,16,2.17,13,8,5,0.54,-0.86,18.8,8.8,10,1.07,-0.1,Matches
638,Axel Tuanzebe,cd COD,DF,Ipswich Town,26,1997,22,"1,710",78,50,19,20,84,12,2,14,0,0.64,17,37,-20,-1.05,0.32,17,31.3,-14.3,-0.75,0.51,Matches
639,Matt Turner,us USA,GK,Crystal Palace,30,1994,0,,,,,0,,0,0,,32,,,,,,,,,,,,Matches
640,Destiny Udogie,it ITA,DF,Tottenham,21,2002,25,"1,924",77,56.3,21.4,24,80,14,1,4,5,1.12,36,35,1,0.05,0.17,34.5,33.3,1.2,0.06,0.4,Matches
641,Manuel Ugarte,uy URU,MF,Manchester Utd,23,2001,29,"1,785",62,52.2,19.8,22,75,8,7,20,3,1.17,24,33,-9,-0.45,-0.4,21,28.8,-7.8,-0.4,-0.76,Matches
642,Lesley Ugochukwu,fr FRA,MF,Southampton,20,2004,26,"1,655",64,48.4,18.4,18,77,4,8,33,6,0.42,13,39,-26,-1.41,0.32,13.5,39.5,-26,-1.41,-0.08,Matches
643,Franco Umeh-Chibueze,ie IRL,MF,Crystal Palace,19,2005,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
644,Enes Ünal,tr TUR,"FW,MF",Bournemouth,27,1997,17,345,20,10.1,3.8,2,62,0,15,15,0,1.65,6,3,3,0.78,0.52,7.8,6.3,1.5,0.38,-0.03,Matches
645,Hákon Valdimarsson,is ISL,GK,Brentford,22,2001,2,145,73,4.2,1.6,1,90,1,1,55,36,0.5,0,2,-2,-1.24,-1.54,3.1,1.5,1.7,1.03,0.97,Matches
646,Virgil van Dijk,nl NED,DF,Liverpool,33,1991,37,"3,330",90,97.4,37,37,90,37,0,,1,2.27,84,38,46,1.24,2.24,79.9,36.4,43.5,1.18,1.14,Matches
647,Jamie Vardy,eng ENG,FW,Leicester City,37,1987,35,"2,823",81,82.5,31.4,35,81,20,0,,0,0.71,28,68,-40,-1.28,-0.22,27.5,61.9,-34.4,-1.1,-0.36,Matches
648,Renato Veiga,pt POR,"DF,MF",Chelsea,21,2003,7,181,26,5.3,2,1,90,1,6,15,13,2.14,2,2,0,0,-0.58,2,3,-1.1,-0.52,-1.12,Matches
649,Joël Veltman,nl NED,DF,Brighton,32,1992,21,"1,697",81,49.6,18.9,19,86,14,2,27,3,1.81,32,24,8,0.42,0.48,26.5,24.3,2.2,0.11,0.01,Matches
650,Micky van de Ven,nl NED,DF,Tottenham,23,2001,13,"1,015",78,29.7,11.3,12,82,7,1,30,6,1.08,22,17,5,0.44,0.67,22.3,13,9.3,0.82,1.34,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
651,Bart Verbruggen,nl NED,GK,Brighton,21,2002,36,"3,240",90,94.7,36,36,90,36,0,,0,1.53,61,58,3,0.08,-1.92,55.2,52.7,2.5,0.07,-0.75,Matches
652,Jannik Vestergaard,dk DEN,DF,Leicester City,31,1992,18,"1,391",77,40.7,15.5,16,81,10,2,51,2,0.5,7,35,-28,-1.81,-0.97,12,24.8,-12.9,-0.83,0.34,Matches
653,Guglielmo Vicario,it ITA,GK,Tottenham,27,1996,24,"2,160",90,63.2,24,24,90,24,0,,2,1.25,43,37,6,0.25,0.75,41.8,33.2,8.6,0.36,1.29,Matches
654,Carlos Vinícius,br BRA,"MF,FW",Fulham,29,1995,3,16,5,0.5,0.2,0,,0,3,5,8,1.33,1,1,0,0,0,0.7,0.1,0.6,3.37,3.34,Matches
655,João Virgínia,pt POR,GK,Everton,24,1999,0,,,,,0,,0,0,,38,,,,,,,,,,,,Matches
656,Odysseas Vlachodimos,gr GRE,GK,Newcastle Utd,30,1994,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
657,Kyle Walker,eng ENG,DF,Manchester City,34,1990,15,970,65,28.4,10.8,9,89,8,6,29,2,1.4,13,21,-8,-0.74,-2.06,15.4,19.3,-3.9,-0.36,-1.26,Matches
658,Kyle Walker-Peters,eng ENG,DF,Southampton,27,1997,33,"2,918",88,85.3,32.4,33,88,29,0,,2,0.3,23,77,-54,-1.67,-0.59,26.6,74.2,-47.7,-1.47,-0.67,Matches
659,Christian Walton,eng ENG,GK,Ipswich Town,28,1995,7,630,90,18.4,7,7,90,7,0,,27,0.57,6,19,-13,-1.86,-0.79,5.6,13.8,-8.2,-1.17,-0.2,Matches
660,Aaron Wan-Bissaka,cd COD,DF,West Ham,26,1997,36,"3,154",88,92.2,35,35,89,33,1,29,1,1.17,44,59,-15,-0.43,-0.09,42.3,56.2,-13.9,-0.4,-0.8,Matches
661,Danny Ward,wls WAL,GK,Leicester City,31,1993,2,135,68,3.9,1.5,1,90,1,1,45,14,0,0,6,-6,-4,-2.88,0.9,3.4,-2.5,-1.7,-0.69,Matches
662,Joel Ward,eng ENG,DF,Crystal Palace,34,1989,2,71,36,2.1,0.8,1,70,0,1,1,18,3,3,2,1,1.27,1.29,1.1,1.4,-0.3,-0.37,-0.68,Matches
663,James Ward-Prowse,eng ENG,MF,West Ham,29,1994,15,"1,039",69,30.4,11.5,12,80,6,3,25,1,1.07,12,11,1,0.09,0.73,12.9,13.7,-0.8,-0.07,0.38,Matches
664,James Ward-Prowse,eng ENG,MF,Nott'ham Forest,29,1994,9,400,44,11.7,4.4,5,75,2,4,6,9,1.56,4,7,-3,-0.68,-1.12,4.4,5.3,-0.9,-0.21,-0.13,Matches
665,Ollie Watkins,eng ENG,FW,Aston Villa,28,1995,38,"2,598",68,76,28.9,31,78,11,7,25,0,1.74,49,40,9,0.31,0.53,43.8,38.7,5.1,0.18,0.08,Matches
666,Adam Webster,eng ENG,DF,Brighton,29,1995,14,887,63,25.9,9.9,11,77,8,3,14,7,2.29,26,11,15,1.52,1.81,19,14.3,4.6,0.47,0.49,Matches
667,Danny Welbeck,eng ENG,FW,Brighton,33,1990,30,"2,115",71,61.8,23.5,24,84,11,6,17,0,1.7,41,37,4,0.17,-0.04,34.9,36.8,-1.8,-0.08,-0.49,Matches
668,Reece Welch,eng ENG,DF,Everton,20,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
669,Welington,br BRA,DF,Southampton,23,2001,10,482,48,14.1,5.4,6,73,2,4,11,3,0.6,4,10,-6,-1.12,0.53,3,11.6,-8.6,-1.61,-0.28,Matches
670,Maxwell Wellings,eng ENG,DF,Bournemouth,19,2005,0,,,,,0,,0,0,,14,,,,,,,,,,,,Matches
671,Timo Werner,de GER,"FW,MF",Tottenham,28,1996,18,516,29,15.1,5.7,4,71,0,14,17,3,0.83,10,12,-2,-0.35,-0.38,11.3,11.5,-0.2,-0.04,0.1,Matches
672,Adam Wharton,eng ENG,MF,Crystal Palace,20,2004,20,"1,318",66,38.5,14.6,16,77,3,4,23,1,1.25,18,21,-3,-0.2,-0.33,21.1,19.2,1.9,0.13,-0.27,Matches
673,Ethan Wheatley,eng ENG,FW,Manchester Utd,18,2006,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
674,Ben White,eng ENG,DF,Arsenal,26,1997,17,"1,198",70,35,13.3,13,86,10,4,19,3,1.47,20,13,7,0.53,-0.61,18.9,16.2,2.7,0.21,-0.71,Matches
675,Alfie Whiteman,eng ENG,GK,Tottenham,25,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
676,Mats Wieffer,nl NED,"DF,MF",Brighton,24,1999,25,"1,015",41,29.7,11.3,10,79,5,15,15,3,1.6,25,22,3,0.27,0.12,17.5,19.1,-1.6,-0.15,-0.36,Matches
677,Luca Williams Barnett,eng ENG,FW,Tottenham,15,2008,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
678,Neco Williams,wls WAL,DF,Nott'ham Forest,23,2001,35,"2,594",74,75.8,28.8,28,88,23,7,17,3,1.77,47,31,16,0.56,0.99,35.1,37.5,-2.4,-0.08,0.03,Matches
679,Willian,br BRA,"FW,MF",Fulham,35,1988,10,257,26,7.5,2.9,2,76,0,8,13,4,1.2,2,3,-1,-0.35,-0.38,3.8,4.2,-0.4,-0.16,-0.22,Matches
680,Joe Willock,eng ENG,"MF,FW",Newcastle Utd,24,1999,32,"1,086",34,31.8,12.1,11,62,0,21,19,1,1.59,19,16,3,0.25,-0.45,18.9,14.7,4.2,0.35,-0.19,Matches
681,Callum Wilson,eng ENG,FW,Newcastle Utd,32,1992,18,370,21,10.8,4.1,2,66,0,16,15,0,1.5,4,7,-3,-0.73,-1.44,4.9,6,-1.1,-0.26,-0.83,Matches
682,Harry Wilson,wls WAL,"FW,MF",Fulham,27,1997,25,"1,162",46,34,12.9,12,77,1,13,18,3,1.28,23,21,2,0.15,0.23,16.6,16.7,-0.1,-0.01,-0.09,Matches
683,Thomas Wilson-Brown,eng ENG,DF,Leicester City,19,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
684,Josh Wilson-Esbrand,eng ENG,DF,Manchester City,21,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
685,Harry Winks,eng ENG,MF,Leicester City,28,1996,22,"1,538",70,45,17.1,17,80,12,5,34,3,0.45,17,34,-17,-0.99,0.44,16.4,28.9,-12.5,-0.73,0.55,Matches
686,Ben Winterburn,eng ENG,"MF,FW",Bournemouth,19,2004,4,24,6,0.7,0.3,0,,0,4,6,16,2,2,0,2,7.5,7.23,1.3,0.2,1.1,4.13,3.75,Matches
687,Yoane Wissa,cd COD,FW,Brentford,27,1996,35,"2,919",83,85.4,32.4,34,85,23,1,25,0,1.49,56,45,11,0.34,0.7,50.4,44.5,6,0.18,0.62,Matches
688,Chris Wood,nz NZL,FW,Nott'ham Forest,32,1991,36,"2,959",82,86.5,32.9,35,84,14,1,28,0,1.72,52,37,15,0.46,1.04,39,39.5,-0.5,-0.01,0.56,Matches
689,Nathan Wood-Gordon,eng ENG,DF,Southampton,22,2002,11,773,70,22.6,8.6,9,77,6,2,42,14,0.09,3,20,-17,-1.98,-0.52,6.1,21.1,-15,-1.75,-0.48,Matches
690,Luke Woolfenden,eng ENG,DF,Ipswich Town,25,1998,15,"1,187",79,34.7,13.2,12,90,11,3,36,13,0.47,12,28,-16,-1.21,0,9.2,25.7,-16.5,-1.25,-0.37,Matches
691,Jacob Wright,eng ENG,MF,Manchester City,18,2005,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
692,Yehor Yarmoliuk,ua UKR,MF,Brentford,20,2004,31,"1,450",47,42.4,16.1,15,79,6,16,16,7,1.52,27,25,2,0.12,-0.2,22.8,26.1,-3.3,-0.21,-0.52,Matches
693,Ryan Yates,eng ENG,MF,Nott'ham Forest,26,1997,35,"1,915",55,56,21.3,18,83,13,17,25,2,1.69,25,27,-2,-0.09,-0.93,24.2,27.2,-3,-0.14,-0.11,Matches
694,Tony Yogane,eng ENG,MF,Brentford,18,2005,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
695,Leny Yoro,fr FRA,DF,Manchester Utd,18,2005,21,"1,165",55,34.1,12.9,12,78,5,9,26,0,0.81,17,24,-7,-0.54,-0.42,18.1,19.4,-1.3,-0.1,-0.1,Matches
696,Ashley Young,eng ENG,DF,Everton,39,1985,32,"1,875",59,54.8,20.8,19,85,14,13,20,4,1.34,21,22,-1,-0.05,0.01,21,26.3,-5.3,-0.26,-0.31,Matches
697,Kadan Young,eng ENG,MF,Aston Villa,18,2006,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
698,Illia Zabarnyi,ua UKR,DF,Bournemouth,21,2002,36,"3,109",86,90.9,34.5,35,88,30,1,45,0,1.53,53,41,12,0.35,0.35,57.2,42,15.2,0.44,0.35,Matches
699,Oleksandr Zinchenko,ua UKR,"DF,MF",Arsenal,27,1996,15,527,35,15.4,5.9,5,72,1,10,17,16,1.87,9,1,8,1.37,0.53,8.7,3.1,5.6,0.95,0.33,Matches
700,Joshua Zirkzee,nl NED,"FW,MF",Manchester Utd,23,2001,32,"1,402",44,41,15.6,14,72,4,18,22,0,1.19,26,24,2,0.13,0.66,22.8,24.4,-1.6,-0.1,-0.12,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
701,Oliwier Zych,pl POL,GK,Aston Villa,20,2004,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches
702,Martin Ødegaard,no NOR,MF,Arsenal,25,1998,30,"2,325",78,68,25.8,26,86,14,4,23,0,2,50,21,29,1.12,0.63,41.1,21.7,19.4,0.75,0.25,Matches