,,,,,,,,Touches,,,,,,,Take-Ons,,,,,Carries,,,,,,,,Receiving,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,24,2000,1,73,2,19,40,15,0,73,2,0,0,1,50,41,152,68,1,0,0,1,0,40,3,Matches
2,Joshua Acheampong,eng ENG,DF,Chelsea,18,2006,1.9,137,7,48,81,8,3,137,2,1,50,0,0,106,709,409,0,2,0,2,0,111,0,Matches
3,Tyler Adams,us USA,MF,Bournemouth,25,1999,21.8,1337,62,349,779,224,18,1337,18,4,22.2,10,55.6,663,3337,1447,14,22,1,28,12,757,10,Matches
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,26,1997,15.7,1330,175,630,674,27,14,1330,6,4,66.7,1,16.7,777,3207,1809,5,2,0,4,0,1000,1,Matches
5,Simon Adingra,ci CIV,"FW,MF",Brighton,22,2002,12.2,548,10,66,174,315,76,548,50,21,42,27,54,366,2514,1300,50,21,27,39,12,388,136,Matches
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27,1997,15.7,1172,190,649,504,28,7,1172,13,10,76.9,2,15.4,758,3670,1752,6,4,0,6,4,796,2,Matches
7,Asher Agbinone,eng ENG,MF,Crystal Palace,18,2005,0.1,8,0,0,2,6,0,8,2,0,0,1,50,5,53,23,2,0,0,0,1,5,1,Matches
8,Ola Aina,ng NGA,DF,Nott'ham Forest,27,1996,33.3,1708,156,613,717,409,22,1708,72,33,45.8,27,37.5,749,4798,2787,67,46,10,44,22,823,67,Matches
9,Rayan Aït-Nouri,dz ALG,DF,Wolves,23,2001,34.5,2148,96,577,916,685,96,2148,137,63,46,56,40.9,1129,6166,3205,89,62,28,52,47,1321,176,Matches
10,Kristoffer Ajer,no NOR,DF,Brentford,26,1998,16,795,53,265,368,168,38,795,16,7,43.8,8,50,387,2098,1180,27,11,2,15,12,491,44,Matches
11,Manuel Akanji,ch SUI,DF,Manchester City,29,1995,22.4,1881,119,559,920,405,19,1881,2,2,100,0,0,1254,6953,4234,46,64,0,5,5,1483,7,Matches
12,Nathan Aké,nl NED,DF,Manchester City,29,1995,7.5,596,51,205,331,61,5,596,1,1,100,0,0,403,2244,1501,12,12,1,4,3,449,2,Matches
13,Carlos Alcaraz,ar ARG,MF,Southampton,21,2002,0.1,17,0,1,8,9,2,17,2,0,0,2,100,12,112,98,4,1,0,0,0,12,1,Matches
14,Carlos Alcaraz,ar ARG,"FW,MF",Everton,21,2002,8.5,378,15,63,168,156,19,378,18,9,50,7,38.9,211,1331,707,19,21,2,14,13,247,21,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,25,1998,26.3,2253,88,593,1014,660,44,2253,37,17,45.9,17,45.9,1184,5358,2860,51,36,9,19,15,1436,94,Matches
16,Alisson,br BRA,GK,Liverpool,31,1992,27.9,1010,741,990,20,0,0,1010,1,1,100,0,0,658,2611,1586,0,0,0,1,0,618,0,Matches
17,Miguel Almirón,py PAR,FW,Newcastle Utd,30,1994,1.7,81,1,10,35,36,9,81,2,1,50,1,50,54,284,93,3,3,2,0,2,59,18,Matches
18,Olabade Aluko,,DF,Leicester City,,,0,6,0,0,6,1,0,6,1,0,0,1,100,2,1,0,0,0,0,0,1,2,0,Matches
19,Edson Álvarez,mx MEX,MF,West Ham,26,1997,19.7,1239,67,361,693,194,12,1239,33,14,42.4,14,42.4,687,3783,1714,24,22,2,27,15,830,18,Matches
20,Will Alves,eng ENG,FW,Leicester City,19,2005,0,1,0,0,0,1,0,1,0,0,,0,,1,5,5,0,0,0,0,0,1,1,Matches
21,Harry Amass,eng ENG,DF,Manchester Utd,17,2007,3.8,250,13,82,88,84,5,250,8,3,37.5,4,50,132,705,376,9,6,2,18,5,124,23,Matches
22,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18,2006,0.3,16,0,5,5,7,1,16,4,0,0,3,75,11,98,68,1,0,1,0,2,11,3,Matches
23,Mathis Amougou,fr FRA,MF,Chelsea,18,2006,0.1,9,1,2,4,3,0,9,0,0,,0,,7,25,5,0,1,0,0,1,6,0,Matches
24,Joachim Andersen,dk DEN,DF,Crystal Palace,28,1996,1,93,14,38,50,5,0,93,0,0,,0,,49,189,103,1,1,0,0,1,67,1,Matches
25,Joachim Andersen,dk DEN,DF,Fulham,28,1996,28.7,2336,340,1233,1013,102,22,2336,6,4,66.7,0,0,1350,6505,3435,16,14,1,6,3,1621,2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
26,Elliot Anderson,eng ENG,MF,Nott'ham Forest,21,2002,30.3,1832,102,424,891,547,72,1832,75,36,48,30,40,932,5071,2366,52,32,21,60,49,1089,95,Matches
27,André,br BRA,MF,Wolves,23,2001,27.5,1623,89,439,1046,155,3,1623,32,16,50,12,37.5,912,3764,1688,10,17,0,30,21,1093,11,Matches
28,Michail Antonio,jm JAM,FW,West Ham,34,1990,9.3,296,3,26,124,151,36,296,27,9,33.3,13,48.1,173,1177,695,29,13,9,35,19,221,59,Matches
29,Antony,br BRA,"DF,MF",Manchester Utd,24,2000,1.6,101,2,22,26,54,8,101,11,4,36.4,6,54.5,60,317,182,5,6,1,5,1,69,7,Matches
30,Julian Araujo,mx MEX,DF,Bournemouth,22,2001,5.5,275,20,90,136,55,2,275,1,0,0,1,100,126,482,258,4,3,0,5,2,149,22,Matches
31,Cameron Archer,eng ENG,FW,Southampton,23,2001,16,398,16,69,179,154,52,397,37,15,40.5,20,54.1,226,1182,564,22,10,14,40,26,274,66,Matches
32,Alphonse Areola,fr FRA,GK,West Ham,31,1993,25.1,1049,833,1038,12,0,0,1049,0,0,,0,,601,2480,1348,0,0,0,0,0,555,0,Matches
33,Joe Aribo,ng NGA,"MF,DF",Southampton,28,1996,22.4,1271,52,313,670,299,44,1271,49,21,42.9,22,44.9,745,4068,2021,36,29,12,27,19,925,65,Matches
34,Adam Armstrong,eng ENG,"FW,MF",Southampton,27,1997,13.9,377,11,44,143,192,49,376,14,6,42.9,8,57.1,235,1324,599,25,13,6,11,18,286,79,Matches
35,Harrison Armstrong,eng ENG,MF,Everton,17,2007,0.5,20,0,3,12,7,2,20,1,1,100,0,0,15,110,43,1,2,0,2,3,14,0,Matches
36,Kepa Arrizabalaga,es ESP,GK,Bournemouth,29,1994,31,1087,800,1057,29,1,1,1087,1,1,100,0,0,621,3129,1797,0,0,0,0,0,486,0,Matches
37,Marco Asensio,es ESP,MF,Aston Villa,28,1996,8.3,386,6,38,158,200,30,384,19,12,63.2,5,26.3,242,1466,682,22,21,5,9,8,265,38,Matches
38,Brandon Austin,eng ENG,GK,Tottenham,25,1999,1,36,30,36,0,0,0,36,0,0,,0,,22,104,46,0,0,0,0,0,16,0,Matches
39,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,26,1997,4.6,167,5,16,78,74,21,167,9,4,44.4,5,55.6,90,402,183,6,5,2,19,19,113,20,Matches
40,Yasin Ayari,se SWE,MF,Brighton,20,2003,21.8,1233,58,275,624,354,45,1233,45,18,40,18,40,655,3244,1466,30,25,6,38,22,801,61,Matches
41,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,32,1991,0.2,12,0,0,7,5,1,12,0,0,,0,,6,25,12,0,0,0,0,1,9,1,Matches
42,Jordan Ayew,gh GHA,"FW,MF",Leicester City,32,1991,18.2,798,21,103,407,312,55,797,64,26,40.6,32,50,479,3374,1540,49,37,11,63,40,540,86,Matches
43,Benoît Badiashile,fr FRA,DF,Chelsea,23,2001,3.7,336,31,138,186,13,0,336,1,0,0,1,100,177,660,340,3,5,0,1,0,247,2,Matches
44,Leon Bailey,jm JAM,"FW,MF",Aston Villa,26,1997,12.7,545,18,77,155,323,70,545,57,22,38.6,24,42.1,348,2582,1371,58,23,34,35,25,390,121,Matches
45,Carlos Baleba,cm CMR,MF,Brighton,20,2004,29.6,1697,94,410,994,339,12,1697,57,33,57.9,20,35.1,971,5692,2810,43,45,3,39,42,1035,29,Matches
46,Ross Barkley,eng ENG,MF,Aston Villa,30,1993,6.5,464,17,75,275,121,19,464,16,12,75,4,25,277,1560,733,15,15,2,7,8,328,10,Matches
47,Harvey Barnes,eng ENG,FW,Newcastle Utd,26,1997,19.5,810,17,97,257,462,128,810,64,24,37.5,33,51.6,561,4196,2467,93,48,47,33,23,647,192,Matches
48,Calvin Bassey,ng NGA,DF,Fulham,24,1999,34.2,2463,324,1205,1151,132,19,2463,33,15,45.5,11,33.3,1571,8212,4940,39,20,5,34,8,1716,15,Matches
49,Altay Bayındır,tr TUR,GK,Manchester Utd,26,1998,4,168,145,166,2,0,0,168,0,0,,0,,110,432,196,0,0,0,0,0,103,0,Matches
50,Jan Bednarek,pl POL,DF,Southampton,28,1996,28.1,2049,386,1091,924,41,15,2049,3,3,100,0,0,1046,3845,1742,5,5,1,9,3,1307,2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
51,Armel Bella Kotchap,de GER,DF,Southampton,22,2001,3.7,263,33,147,115,3,1,263,1,0,0,1,100,186,936,326,0,0,0,1,0,192,0,Matches
52,Jean-Ricner Bellegarde,ht HAI,"MF,FW",Wolves,26,1998,18.6,843,24,148,394,318,48,843,61,14,23,31,50.8,528,3269,1573,52,38,11,42,29,592,89,Matches
53,Rodrigo Bentancur,uy URU,MF,Tottenham,27,1997,18.3,1302,76,323,774,216,24,1302,19,9,47.4,8,42.1,764,3568,1502,28,24,5,19,20,848,34,Matches
54,Daniel Bentley,eng ENG,GK,Wolves,31,1993,2,69,50,68,1,0,0,69,0,0,,0,,39,218,134,0,0,0,0,0,26,0,Matches
55,Sander Berge,no NOR,MF,Fulham,26,1998,24.7,1384,81,374,799,217,14,1384,20,11,55,6,30,804,4467,2065,29,25,2,15,16,892,9,Matches
56,Lucas Bergvall,se SWE,MF,Tottenham,18,2006,13.5,885,36,188,478,232,22,885,45,21,46.7,20,44.4,531,3392,1634,33,21,4,20,19,586,31,Matches
57,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,21,2002,27.6,1614,115,577,722,329,17,1614,18,8,44.4,9,50,816,3948,1866,40,26,5,15,13,887,78,Matches
58,Beto,gw GNB,FW,Everton,26,1998,17,520,29,51,233,242,86,520,38,19,50,17,44.7,267,1242,478,15,12,9,71,37,378,77,Matches
59,Philip Billing,dk DEN,MF,Bournemouth,28,1996,2,148,5,20,72,57,12,148,3,1,33.3,0,0,58,254,163,3,1,1,7,4,75,13,Matches
60,Yves Bissouma,ml MLI,MF,Tottenham,27,1996,15.6,1039,71,304,584,159,5,1039,22,7,31.8,15,68.2,610,3602,1611,15,17,0,25,15,704,3,Matches
61,Oscar Bobb,no NOR,FW,Manchester City,21,2003,0.2,15,0,2,6,7,0,15,2,2,100,0,0,10,67,32,1,0,0,0,0,13,1,Matches
62,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,20,2004,5.3,325,16,95,191,40,4,325,4,2,50,1,25,173,1031,599,12,6,1,6,8,212,9,Matches
63,Willy Boly,ci CIV,DF,Nott'ham Forest,33,1991,1.7,97,22,63,32,2,1,97,0,0,,0,,35,128,45,0,0,0,1,0,46,0,Matches
64,Sven Botman,nl NED,DF,Newcastle Utd,24,2000,4.6,304,40,132,160,16,11,304,3,1,33.3,1,33.3,145,670,337,0,1,0,5,1,197,0,Matches
65,Jarrod Bowen,eng ENG,"FW,MF",West Ham,27,1996,33,1252,28,132,466,678,171,1251,130,44,33.8,76,58.5,741,5306,2501,109,46,61,70,77,834,212,Matches
66,Conor Bradley,nir NIR,DF,Liverpool,21,2003,8.4,663,32,197,299,178,43,663,25,10,40,12,48,369,2332,1356,35,22,9,13,5,411,39,Matches
67,Jarrad Branthwaite,eng ENG,DF,Everton,22,2002,27.9,1520,211,783,676,69,28,1520,6,3,50,2,33.3,747,4143,2515,10,14,2,8,4,894,2,Matches
68,James Bree,eng ENG,DF,Southampton,26,1997,11.9,694,49,221,308,170,11,694,8,4,50,2,25,363,1586,808,13,12,1,9,5,443,43,Matches
69,Ben Brereton,cl CHI,FW,Southampton,25,1999,5,206,4,19,76,112,20,206,4,1,25,2,50,136,791,394,12,13,4,9,4,171,42,Matches
70,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,26,1998,7.8,317,7,41,161,126,21,317,34,17,50,15,44.1,174,1238,584,20,16,5,19,15,222,33,Matches
71,Armando Broja,al ALB,FW,Everton,22,2001,3.7,127,4,14,47,72,18,127,16,8,50,7,43.8,64,577,281,12,8,3,16,13,94,26,Matches
72,David Brooks,wls WAL,"FW,MF",Bournemouth,27,1997,10.7,545,15,59,207,289,39,545,34,11,32.4,20,58.8,342,2344,1115,35,25,10,30,14,375,83,Matches
73,Emi Buendía,ar ARG,"MF,FW",Aston Villa,27,1996,1.1,82,0,17,35,31,3,82,2,0,0,2,100,53,185,119,3,5,0,4,3,64,6,Matches
74,Santiago Bueno,uy URU,DF,Wolves,25,1998,18.7,1025,170,522,485,21,6,1025,4,0,0,4,100,555,2727,1430,1,2,0,2,2,660,1,Matches
75,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,19,2004,16.9,874,26,128,452,307,39,874,83,28,33.7,49,59,479,2997,1347,39,26,9,58,39,528,74,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
76,Cameron Burgess,au AUS,DF,Ipswich Town,28,1995,17.1,982,248,609,327,48,24,982,0,0,,0,,430,1965,1002,2,4,0,3,0,573,4,Matches
77,Dan Burn,eng ENG,DF,Newcastle Utd,32,1992,37,2386,366,1305,959,130,52,2386,4,3,75,1,25,1346,6322,2798,12,8,1,24,3,1615,14,Matches
78,Wes Burns,wls WAL,"FW,DF",Ipswich Town,29,1994,10.3,350,21,69,129,160,18,350,24,9,37.5,14,58.3,216,1458,696,38,13,10,17,13,220,65,Matches
79,Nathan Butler-Oyedeji,eng ENG,FW,Arsenal,21,2003,0.1,1,0,0,0,1,1,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
80,Moisés Caicedo,ec ECU,"MF,DF",Chelsea,22,2001,37.2,2579,95,562,1570,476,15,2579,64,29,45.3,22,34.4,1409,6882,3384,43,38,2,37,25,1780,37,Matches
81,Tom Cairney,sct SCO,MF,Fulham,33,1991,7,683,12,123,347,223,18,683,13,5,38.5,4,30.8,456,2179,1047,18,17,4,6,4,553,33,Matches
82,Jens Cajuste,se SWE,MF,Ipswich Town,24,1999,21.8,1017,61,286,530,217,15,1017,53,28,52.8,19,35.8,481,2609,1329,26,23,3,23,17,594,20,Matches
83,Riccardo Calafiori,it ITA,DF,Arsenal,22,2002,10.9,653,30,164,264,229,30,653,13,9,69.2,3,23.1,308,1655,889,22,15,3,12,5,394,29,Matches
84,Dominic Calvert-Lewin,eng ENG,FW,Everton,27,1997,17.9,520,26,45,215,265,88,520,25,10,40,13,52,280,1445,463,23,8,17,77,33,417,112,Matches
85,Diego Carlos,br BRA,DF,Aston Villa,31,1993,9.2,674,86,331,330,15,6,674,2,2,100,0,0,419,2133,1162,3,3,0,1,2,481,0,Matches
86,Fabio Carvalho,pt POR,"FW,MF",Brentford,21,2002,5.1,247,4,44,91,113,22,247,14,2,14.3,10,71.4,137,698,356,9,3,0,13,8,145,23,Matches
87,Casemiro,br BRA,MF,Manchester Utd,32,1992,16.6,1250,75,374,633,251,43,1250,6,3,50,3,50,660,2047,934,4,10,0,12,10,800,28,Matches
88,Kaelan Casey,eng ENG,DF,West Ham,19,2004,0,1,1,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
89,Matty Cash,pl POL,DF,Aston Villa,26,1997,23,1186,90,432,463,304,42,1186,40,19,47.5,16,40,595,3700,1864,48,38,4,20,10,654,90,Matches
90,Eiran Cashin,ie IRL,DF,Brighton,22,2001,0.2,32,2,10,20,2,0,32,1,0,0,1,100,21,133,99,0,0,0,0,0,25,1,Matches
91,Timothy Castagne,be BEL,DF,Fulham,28,1995,18.3,1164,92,449,462,259,32,1164,12,5,41.7,5,41.7,547,2191,1044,17,15,2,15,5,665,67,Matches
92,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25,1999,11.8,594,66,275,276,51,14,594,10,6,60,2,20,278,1213,661,11,9,1,4,7,317,6,Matches
93,Trevoh Chalobah,eng ENG,DF,Chelsea,25,1999,10.1,774,73,331,389,59,12,774,5,2,40,1,20,426,1753,772,4,5,1,3,2,574,2,Matches
94,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,27,1997,9.5,390,7,74,183,138,18,390,8,4,50,4,50,179,910,467,13,9,0,12,5,264,23,Matches
95,Youssef Chermiti,pt POR,"FW,MF",Everton,20,2004,0.5,15,0,0,6,9,3,15,1,1,100,0,0,7,21,2,0,0,0,0,1,13,6,Matches
96,Federico Chiesa,it ITA,FW,Liverpool,26,1997,1.2,46,2,10,15,21,4,46,2,0,0,2,100,31,130,58,3,1,1,3,4,33,7,Matches
97,Ben Chilwell,eng ENG,DF,Crystal Palace,27,1996,2.9,175,10,63,76,42,3,175,6,2,33.3,3,50,68,354,243,5,2,1,4,2,68,15,Matches
98,Chiquinho,pt POR,MF,Wolves,24,2000,0.1,3,0,0,1,2,1,3,0,0,,0,,1,13,5,0,0,0,0,0,2,0,Matches
99,Hamza Choudhury,bd BAN,"MF,DF",Leicester City,26,1997,1.5,100,4,19,61,20,3,100,4,3,75,1,25,63,246,130,4,2,2,1,0,71,6,Matches
100,Ryan Christie,sct SCO,MF,Bournemouth,29,1995,23.5,1376,74,256,773,372,46,1376,48,23,47.9,22,45.8,726,3802,1773,34,40,8,44,25,777,44,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
101,Harry Clarke,eng ENG,DF,Ipswich Town,23,2001,4.2,268,18,100,122,47,2,268,2,1,50,1,50,118,555,222,5,7,0,4,2,163,2,Matches
102,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,23,2000,13.1,553,24,125,229,215,38,553,50,25,50,18,36,311,2356,1217,39,21,12,25,22,338,57,Matches
103,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,33,1991,5.4,273,18,111,125,37,3,273,1,0,0,1,100,158,651,314,6,2,3,5,2,178,8,Matches
104,Conor Coady,eng ENG,DF,Leicester City,31,1993,19,1210,234,689,503,20,8,1210,2,1,50,1,50,789,3430,1820,3,3,1,4,3,878,0,Matches
105,Séamus Coleman,ie IRL,DF,Everton,35,1988,2.4,121,12,42,54,26,3,121,5,4,80,1,20,54,310,177,1,2,0,1,1,68,7,Matches
106,Nathan Collins,ie IRL,DF,Brentford,23,2001,38,2435,385,1275,1002,169,69,2435,12,6,50,5,41.7,1289,6994,4130,32,12,1,20,8,1490,18,Matches
107,Toby Collyer,eng ENG,MF,Manchester Utd,20,2004,2,129,9,46,59,25,3,129,2,1,50,1,50,68,239,56,0,0,0,11,1,71,2,Matches
108,Levi Colwill,eng ENG,DF,Chelsea,21,2003,35,2904,383,1363,1417,140,36,2904,12,6,50,5,41.7,1621,7389,4028,14,12,1,14,8,2092,12,Matches
109,Lewis Cook,eng ENG,"MF,DF",Bournemouth,27,1997,33.1,1900,87,440,1010,470,20,1900,20,13,65,7,35,825,4125,2159,33,29,4,31,18,965,52,Matches
110,Maxwel Cornet,ci CIV,FW,Southampton,27,1996,0.8,34,1,8,14,13,2,34,1,0,0,1,100,16,73,26,1,0,1,3,0,23,5,Matches
111,Vladimír Coufal,cz CZE,DF,West Ham,31,1992,11.9,736,61,262,318,159,14,736,15,5,33.3,7,46.7,298,1754,888,26,10,2,12,8,400,33,Matches
112,Woyo Coulibaly,ml MLI,DF,Leicester City,25,1999,1.2,76,8,27,31,20,4,76,1,0,0,1,100,48,288,169,4,2,1,4,0,36,2,Matches
113,Aaron Cresswell,eng ENG,DF,West Ham,34,1989,9.2,687,45,270,328,94,2,687,2,1,50,1,50,291,1102,526,6,8,0,4,0,437,4,Matches
114,Marc Cucurella,es ESP,DF,Chelsea,26,1998,33.2,2244,119,677,1045,532,75,2244,15,4,26.7,9,60,944,4027,2336,35,22,2,28,7,1385,117,Matches
115,Jorge Cuenca,es ESP,DF,Fulham,24,1999,3.9,214,38,134,74,7,1,214,2,2,100,0,0,89,302,140,0,1,0,2,0,133,0,Matches
