,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,
97,Ben Chilwell,eng ENG,DF,Crystal Palace,27,1996,8,1,259,2.9,1,0,1,1,0,0,1,0,0.2,0.2,0.8,1,5,8,15,0.35,0,0.35,0.35,0.35,0.08,0.26,0.34,0.08,0.34,Matches
98,Chiquinho,pt POR,MF,Wolves,24,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.42,0,0.42,Matches
99,Hamza Choudhury,bd BAN,"MF,DF",Leicester City,26,1997,4,1,131,1.5,0,0,0,0,0,0,0,0,0,0,0.4,0.4,4,3,6,0,0,0,0,0,0,0.27,0.27,0,0.27,Matches
100,Ryan Christie,sct SCO,MF,Bournemouth,29,1995,29,27,"2,117",23.5,2,3,5,2,0,0,9,0,1.8,1.8,3.5,5.4,34,137,44,0.09,0.13,0.21,0.09,0.21,0.08,0.15,0.23,0.08,0.23,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
101,Harry Clarke,eng ENG,DF,Ipswich Town,23,2001,7,4,379,4.2,0,0,0,0,0,0,3,1,0.1,0.1,0,0.1,5,14,2,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches
102,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,23,2000,32,12,"1,181",13.1,0,4,4,0,0,0,2,0,1.2,1.2,2.3,3.5,39,44,57,0,0.3,0.3,0,0.3,0.09,0.17,0.26,0.09,0.26,Matches
103,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,33,1991,13,5,483,5.4,0,0,0,0,0,0,1,0,0,0,0.3,0.3,6,7,8,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches
104,Conor Coady,eng ENG,DF,Leicester City,31,1993,22,19,"1,714",19,1,0,1,1,0,0,3,0,0.4,0.4,0.1,0.5,3,32,0,0.05,0,0.05,0.05,0.05,0.02,0,0.03,0.02,0.03,Matches
105,Séamus Coleman,ie IRL,DF,Everton,35,1988,5,3,215,2.4,0,0,0,0,0,0,1,0,0.6,0.6,0,0.6,1,11,7,0,0,0,0,0,0.24,0,0.24,0.24,0.24,Matches
106,Nathan Collins,ie IRL,DF,Brentford,23,2001,38,38,"3,420",38,2,3,5,2,0,0,5,0,2.5,2.5,1.8,4.3,32,127,18,0.05,0.08,0.13,0.05,0.13,0.07,0.05,0.11,0.07,0.11,Matches
107,Toby Collyer,eng ENG,MF,Manchester Utd,20,2004,6,0,179,2,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,0,5,2,0,0,0,0,0,0.09,0.13,0.22,0.09,0.22,Matches
108,Levi Colwill,eng ENG,DF,Chelsea,21,2003,35,35,"3,149",35,2,1,3,2,0,0,9,0,1.9,1.9,1.1,3,14,131,12,0.06,0.03,0.09,0.06,0.09,0.05,0.03,0.09,0.05,0.09,Matches
109,Lewis Cook,eng ENG,"MF,DF",Bournemouth,27,1997,36,32,"2,978",33.1,1,3,4,1,0,0,8,1,0.9,0.9,4.1,5.1,33,158,52,0.03,0.09,0.12,0.03,0.12,0.03,0.12,0.15,0.03,0.15,Matches
110,Maxwel Cornet,ci CIV,FW,Southampton,27,1996,2,1,72,0.8,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,1,0,5,0,0,0,0,0,0.2,0,0.2,0.2,0.2,Matches
111,Vladimír Coufal,cz CZE,DF,West Ham,31,1992,22,11,"1,067",11.9,0,0,0,0,0,0,5,0,0.3,0.3,0.7,1,26,39,33,0,0,0,0,0,0.03,0.06,0.08,0.03,0.08,Matches
112,Woyo Coulibaly,ml MLI,DF,Leicester City,25,1999,4,1,109,1.2,0,0,0,0,0,0,1,0,0,0,0,0,4,3,2,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
113,Aaron Cresswell,eng ENG,DF,West Ham,34,1989,18,10,824,9.2,0,0,0,0,0,0,3,0,0.2,0.2,1.3,1.6,6,36,4,0,0,0,0,0,0.03,0.15,0.17,0.03,0.17,Matches
114,Marc Cucurella,es ESP,DF,Chelsea,26,1998,36,33,"2,988",33.2,5,1,6,5,0,0,10,1,2.8,2.8,2.1,4.9,35,118,117,0.15,0.03,0.18,0.15,0.18,0.08,0.06,0.15,0.08,0.15,Matches
115,Jorge Cuenca,es ESP,DF,Fulham,24,1999,8,4,351,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
116,Matheus Cunha,br BRA,"MF,FW",Wolves,25,1999,33,29,"2,597",28.9,15,6,21,15,0,0,4,0,8.6,8.6,7.7,16.4,112,144,161,0.52,0.21,0.73,0.52,0.73,0.3,0.27,0.57,0.3,0.57,Matches
117,Patson Daka,zm ZAM,"FW,MF",Leicester City,25,1998,23,6,736,8.2,1,0,1,1,0,0,0,0,1.3,1.3,0.1,1.3,11,8,36,0.12,0,0.12,0.12,0.12,0.15,0.01,0.16,0.15,0.16,Matches
118,Diogo Dalot,pt POR,DF,Manchester Utd,25,1999,33,31,"2,814",31.3,0,3,3,0,0,0,5,0,2,2,2,4.1,62,103,168,0,0.1,0.1,0,0.1,0.07,0.07,0.13,0.07,0.13,Matches
119,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24,2000,38,34,"2,911",32.3,2,10,12,2,0,0,2,0,2.8,2.8,8.4,11.2,73,234,137,0.06,0.31,0.37,0.06,0.37,0.09,0.26,0.35,0.09,0.35,Matches
120,Danilo,br BRA,"MF,FW",Nott'ham Forest,23,2001,8,5,275,3.1,0,0,0,0,0,0,0,0,0,0,0,0,2,11,1,0,0,0,0,0,0,0,0,0,0,Matches
121,Jayden Danns,eng ENG,MF,Liverpool,18,2006,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
122,Kevin Danso,at AUT,DF,Tottenham,25,1998,10,9,842,9.4,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,11,19,1,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05,Matches
123,Ben Davies,wls WAL,DF,Tottenham,31,1993,17,14,"1,331",14.8,0,0,0,0,0,0,5,0,0.3,0.3,0.2,0.5,14,52,6,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches
124,Leif Davis,eng ENG,DF,Ipswich Town,24,2000,33,32,"2,743",30.5,1,2,3,1,0,0,5,1,1,1,4.9,5.8,52,59,137,0.03,0.07,0.1,0.03,0.1,0.03,0.16,0.19,0.03,0.19,Matches
125,Craig Dawson,eng ENG,DF,Wolves,34,1990,15,10,971,10.8,0,0,0,0,0,0,2,0,0.5,0.5,0,0.5,6,20,5,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
126,Kevin De Bruyne,be BEL,"MF,FW",Manchester City,33,1991,28,19,"1,702",18.9,4,7,11,4,0,0,2,0,5.1,5.1,8,13.1,51,157,150,0.21,0.37,0.58,0.21,0.58,0.27,0.42,0.69,0.27,0.69,Matches
127,Bobby De Cordova-Reid,jm JAM,FW,Leicester City,31,1993,23,9,744,8.3,1,2,3,1,0,0,2,0,0.8,0.8,1.2,2,14,15,48,0.12,0.24,0.36,0.12,0.36,0.1,0.15,0.24,0.1,0.24,Matches
128,Liam Delap,eng ENG,FW,Ipswich Town,21,2003,37,32,"2,593",28.8,12,2,14,10,2,2,12,0,9.3,7.8,1.9,9.7,61,30,110,0.42,0.07,0.49,0.35,0.42,0.32,0.07,0.39,0.27,0.34,Matches
129,Sepp van den Berg,nl NED,DF,Brentford,22,2001,31,29,"2,586",28.7,0,0,0,0,0,0,3,0,2,2,0.8,2.8,12,79,28,0,0,0,0,0,0.07,0.03,0.1,0.07,0.1,Matches
130,Justin Devenny,nir NIR,MF,Crystal Palace,20,2003,23,4,507,5.6,1,1,2,1,0,0,1,0,0.8,0.8,0.6,1.4,5,21,13,0.18,0.18,0.36,0.18,0.36,0.14,0.11,0.25,0.14,0.25,Matches
131,Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,25,1998,13,2,264,2.9,0,1,1,0,0,0,0,0,0.2,0.2,1.1,1.3,5,14,11,0,0.34,0.34,0,0.34,0.08,0.36,0.44,0.08,0.44,Matches
132,Amad Diallo,ci CIV,"MF,FW",Manchester Utd,22,2002,26,20,"1,901",21.1,8,6,14,8,0,0,5,0,4.7,4.7,4.9,9.6,109,60,200,0.38,0.28,0.66,0.38,0.66,0.22,0.23,0.45,0.22,0.45,Matches
133,Rúben Dias,pt POR,DF,Manchester City,27,1997,27,25,"2,271",25.2,0,0,0,0,0,0,4,0,1.5,1.5,0.3,1.8,43,160,8,0,0,0,0,0,0.06,0.01,0.07,0.06,0.07,Matches
134,Luis Díaz,co COL,FW,Liverpool,27,1997,36,28,"2,399",26.7,13,5,18,13,0,0,2,0,12,12,5,17.1,108,110,293,0.49,0.19,0.68,0.49,0.68,0.45,0.19,0.64,0.45,0.64,Matches
135,Tyler Dibling,eng ENG,"FW,MF",Southampton,18,2006,33,20,"1,874",20.8,2,0,2,2,0,0,6,0,2.5,2.5,1.5,4.1,69,64,96,0.1,0,0.1,0.1,0.1,0.12,0.07,0.2,0.12,0.2,Matches
136,Lucas Digne,fr FRA,DF,Aston Villa,31,1993,32,28,"2,351",26.1,0,4,4,0,0,0,4,0,0.8,0.8,4.7,5.5,23,57,142,0,0.15,0.15,0,0.15,0.03,0.18,0.21,0.03,0.21,Matches
137,Issa Diop,fr FRA,DF,Fulham,27,1997,21,15,"1,339",14.9,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,6,25,3,0,0,0,0,0,0.04,0.01,0.04,0.04,0.04,Matches
138,Axel Disasi,fr FRA,DF,Aston Villa,26,1998,7,5,490,5.4,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,10,16,5,0,0,0,0,0,0.02,0.07,0.09,0.02,0.09,Matches
139,Axel Disasi,fr FRA,DF,Chelsea,26,1998,6,4,364,4,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,6,16,2,0.25,0,0.25,0.25,0.25,0.07,0.02,0.09,0.07,0.09,Matches
140,Roman Dixon,eng ENG,DF,Everton,19,2004,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
141,Nasser Djiga,bf BFA,DF,Wolves,21,2002,5,1,66,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,Matches
142,Matt Doherty,ie IRL,DF,Wolves,32,1992,30,25,"2,109",23.4,2,1,3,2,0,0,6,0,1,1,1.5,2.6,29,79,41,0.09,0.04,0.13,0.09,0.13,0.04,0.07,0.11,0.04,0.11,Matches
143,Jeremy Doku,be BEL,"FW,MF",Manchester City,22,2002,29,16,"1,516",16.8,3,6,9,3,0,0,1,0,1.3,1.3,4.8,6.1,213,69,286,0.18,0.36,0.53,0.18,0.53,0.08,0.29,0.36,0.08,0.36,Matches
144,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26,1998,34,23,"1,963",21.8,0,1,1,0,0,0,9,0,1.5,1.5,1.3,2.8,16,83,33,0,0.05,0.05,0,0.05,0.07,0.06,0.13,0.07,0.13,Matches
145,Patrick Dorgu,dk DEN,DF,Manchester Utd,19,2004,12,10,842,9.4,0,0,0,0,0,0,3,1,0.4,0.4,0.7,1.2,41,34,83,0,0,0,0,0,0.05,0.08,0.12,0.05,0.12,Matches
146,Alfie Dorrington,eng ENG,DF,Tottenham,19,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
147,Abdoulaye Doucouré,ml MLI,MF,Everton,31,1993,33,31,"2,564",28.5,3,2,5,3,0,0,5,1,4.1,4.1,2.4,6.6,42,82,96,0.11,0.07,0.18,0.11,0.18,0.15,0.09,0.23,0.15,0.23,Matches
148,Cheick Doucouré,ml MLI,MF,Crystal Palace,24,2000,13,4,452,5,0,0,0,0,0,0,1,0,0.4,0.4,0,0.4,2,19,7,0,0,0,0,0,0.08,0,0.08,0.08,0.08,Matches
149,Flynn Downes,eng ENG,MF,Southampton,25,1999,27,25,"2,151",23.9,1,0,1,1,0,0,12,0,0.6,0.6,1.1,1.7,29,66,29,0.04,0,0.04,0.04,0.04,0.03,0.05,0.07,0.03,0.07,Matches
150,Tommy Doyle,eng ENG,MF,Wolves,22,2001,24,3,488,5.4,0,1,1,0,0,0,1,0,0.6,0.6,0.5,1.1,6,40,4,0,0.18,0.18,0,0.18,0.1,0.09,0.2,0.1,0.2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
151,Radu Drăgușin,ro ROU,DF,Tottenham,22,2002,16,14,"1,252",13.9,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,7,37,2,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,Matches
152,Martin Dúbravka,sk SVK,GK,Newcastle Utd,35,1989,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
153,Lewis Dunk,eng ENG,DF,Brighton,32,1991,25,23,"2,083",23.1,0,0,0,0,0,0,5,0,0.8,0.8,0.5,1.3,20,142,3,0,0,0,0,0,0.03,0.02,0.06,0.03,0.06,Matches
154,Jáder Durán,co COL,FW,Aston Villa,20,2003,20,4,638,7.1,7,0,7,7,0,0,3,1,4.9,4.9,0.2,5.1,7,13,44,0.99,0,0.99,0.99,0.99,0.69,0.03,0.71,0.69,0.71,Matches
155,Claudio Echeverri,ar ARG,FW,Manchester City,18,2006,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Matches
156,Ederson,br BRA,GK,Manchester City,30,1993,26,26,"2,320",25.8,0,4,4,0,0,0,4,0,0,0,1.5,1.5,0,2,0,0,0.16,0.16,0,0.16,0,0.06,0.06,0,0.06,Matches
157,George Edmundson,eng ENG,DF,Ipswich Town,26,1997,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
158,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,26,1998,2,1,115,1.3,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,3,4,7,0,0,0,0,0,0.31,0.04,0.34,0.31,0.34,Matches
159,Odsonne Édouard,fr FRA,FW,Leicester City,26,1998,4,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0.13,0.13,0,0.13,Matches
160,Samuel Edozie,eng ENG,"DF,FW",Southampton,21,2003,2,0,65,0.7,0,0,0,0,0,0,1,0,0,0,0.1,0.1,6,4,23,0,0,0,0,0,0,0.14,0.14,0,0.14,Matches
161,Ronnie Edwards,eng ENG,DF,Southampton,21,2003,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
162,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,22,2002,38,31,"2,501",27.8,6,11,17,6,0,0,1,0,4.5,4.5,5.7,10.1,102,63,229,0.22,0.4,0.61,0.22,0.61,0.16,0.2,0.36,0.16,0.36,Matches
163,Harvey Elliott,eng ENG,MF,Liverpool,21,2003,18,2,371,4.1,1,2,3,1,0,0,1,0,1.8,1.8,1.1,2.8,10,44,30,0.24,0.49,0.73,0.24,0.73,0.43,0.26,0.69,0.43,0.69,Matches
164,Yunus Emre Konak,tr TUR,"FW,MF",Brentford,18,2006,10,0,42,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,1,2,2,0,0,0,0,0,0.33,0,0.33,0.33,0.33,Matches
165,Julio Enciso,py PAR,"MF,FW",Ipswich Town,20,2004,13,12,869,9.7,2,3,5,2,0,0,3,0,1.7,1.7,1.4,3.1,23,28,44,0.21,0.31,0.52,0.21,0.52,0.18,0.14,0.32,0.18,0.32,Matches
166,Julio Enciso,py PAR,"MF,FW",Brighton,20,2004,12,2,294,3.3,0,0,0,0,0,0,0,0,1,1,0.2,1.2,11,14,17,0,0,0,0,0,0.31,0.07,0.38,0.31,0.38,Matches
167,Wataru Endo,jp JPN,"MF,DF",Liverpool,31,1993,20,1,273,3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,19,8,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
168,Christian Eriksen,dk DEN,MF,Manchester Utd,32,1992,23,11,"1,061",11.8,1,2,3,0,1,1,4,0,1.4,0.6,3.2,3.8,13,55,29,0.08,0.17,0.25,0,0.17,0.12,0.27,0.39,0.05,0.32,Matches
169,Romain Esse,eng ENG,MF,Crystal Palace,19,2005,7,1,138,1.5,1,1,2,1,0,0,0,0,0.3,0.3,0.4,0.7,1,7,14,0.65,0.65,1.3,0.65,1.3,0.21,0.27,0.48,0.21,0.48,Matches
170,Pervis Estupiñán,ec ECU,DF,Brighton,26,1998,30,26,"2,402",26.7,1,1,2,1,0,0,5,0,1.2,1.2,2.1,3.3,59,132,112,0.04,0.04,0.07,0.04,0.07,0.04,0.08,0.12,0.04,0.12,Matches
171,Evanilson,br BRA,FW,Bournemouth,24,1999,31,28,"2,319",25.8,10,1,11,10,0,1,1,1,12.5,11.7,1.9,13.6,29,28,99,0.39,0.04,0.43,0.39,0.43,0.48,0.07,0.56,0.45,0.53,Matches
172,Jake Evans,,FW,Leicester City,,,4,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
173,Jonny Evans,nir NIR,DF,Manchester Utd,36,1988,7,3,315,3.5,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,3,10,3,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
174,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26,1998,34,31,"2,588",28.8,8,8,16,7,1,2,1,0,10.5,8.9,6.2,15.1,69,97,153,0.28,0.28,0.56,0.24,0.52,0.36,0.22,0.58,0.31,0.53,Matches
175,Łukasz Fabiański,pl POL,GK,West Ham,39,1985,14,13,"1,160",12.9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
176,Wout Faes,be BEL,DF,Leicester City,26,1998,34,30,"2,815",31.3,1,0,1,1,0,0,4,0,1.5,1.5,0.1,1.6,12,86,1,0.03,0,0.03,0.03,0.03,0.05,0,0.05,0.05,0.05,Matches
177,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,20,2004,11,6,579,6.4,0,2,2,0,0,0,0,0,0.4,0.4,1.6,2,42,17,60,0,0.31,0.31,0,0.31,0.06,0.24,0.31,0.06,0.31,Matches
178,João Félix,pt POR,"FW,MF",Chelsea,24,1999,12,3,369,4.1,1,1,2,1,0,0,2,0,2.2,2.2,1,3.2,21,26,30,0.24,0.24,0.49,0.24,0.49,0.54,0.23,0.78,0.54,0.78,Matches
179,Evan Ferguson,ie IRL,FW,West Ham,19,2004,8,1,156,1.7,0,0,0,0,0,0,0,0,0.6,0.6,0.3,0.9,1,1,7,0,0,0,0,0,0.32,0.17,0.5,0.32,0.5,Matches
180,Evan Ferguson,ie IRL,FW,Brighton,19,2004,13,2,246,2.7,1,0,1,1,0,0,0,0,0.5,0.5,0.4,1,2,1,9,0.37,0,0.37,0.37,0.37,0.2,0.15,0.35,0.2,0.35,Matches
181,Bruno Fernandes,pt POR,MF,Manchester Utd,29,1994,36,35,"3,018",33.5,8,10,18,5,3,3,5,2,9.9,7.6,8.5,16.1,77,325,129,0.24,0.3,0.54,0.15,0.45,0.3,0.25,0.55,0.23,0.48,Matches
182,Mateus Fernandes,pt POR,MF,Southampton,20,2004,36,34,"2,909",32.3,2,4,6,2,0,0,8,0,4,4,3,7,76,145,108,0.06,0.12,0.19,0.06,0.19,0.12,0.09,0.22,0.12,0.22,Matches
183,Enzo Fernández,ar ARG,MF,Chelsea,23,2001,36,32,"2,947",32.7,6,7,13,6,0,0,8,0,6.1,6.1,6.8,12.9,60,212,126,0.18,0.21,0.4,0.18,0.4,0.19,0.21,0.39,0.19,0.39,Matches
184,Mark Flekken,nl NED,GK,Brentford,31,1993,37,37,"3,275",36.4,0,2,2,0,0,0,1,0,0,0,0.5,0.5,0,0,0,0,0.05,0.05,0,0.05,0,0.01,0.01,0,0.01,Matches
185,Phil Foden,eng ENG,"MF,FW",Manchester City,24,2000,28,20,"1,777",19.7,7,2,9,7,0,0,2,0,5.2,5.2,4.8,9.9,50,103,128,0.35,0.1,0.46,0.35,0.46,0.26,0.24,0.5,0.26,0.5,Matches
186,Wesley Fofana,fr FRA,DF,Chelsea,23,2000,14,14,"1,172",13,0,0,0,0,0,0,7,0,0.4,0.4,0.4,0.8,19,32,4,0,0,0,0,0,0.03,0.03,0.07,0.03,0.06,Matches
187,Carlos Forbs,pt POR,"MF,FW",Wolves,20,2004,10,1,239,2.7,0,0,0,0,0,0,2,0,0.1,0.1,0,0.2,10,8,28,0,0,0,0,0,0.05,0.01,0.07,0.05,0.07,Matches
188,Fraser Forster,eng ENG,GK,Tottenham,36,1988,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
189,Matheus França,br BRA,"MF,FW",Crystal Palace,20,2004,4,0,55,0.6,1,0,1,1,0,0,0,0,0.3,0.3,0,0.3,4,3,4,1.64,0,1.64,1.64,1.64,0.42,0,0.42,0.42,0.42,Matches
190,Ryan Fraser,sct SCO,"FW,DF",Southampton,30,1994,8,4,306,3.4,0,0,0,0,0,0,0,1,0,0,0.1,0.1,10,8,18,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,Matches
191,Tyler Fredricson,eng ENG,DF,Manchester Utd,19,2005,2,2,165,1.8,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,Matches
192,Niclas Füllkrug,de GER,FW,West Ham,31,1993,18,6,790,8.8,3,2,5,3,0,0,2,0,2.2,2.2,1.9,4.1,7,14,31,0.34,0.23,0.57,0.34,0.57,0.25,0.22,0.46,0.25,0.46,Matches
